,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Voter Turnout Report,,,,,,,,,,
,,,,,Printed on: 2016/08/11 15:19:21,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Electoral Event:,LOCAL GOVERNMENT ELECTION 2016,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Province:,Mpumalanga,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Municipality:,All Municipalities,,,,,,,
,,,,,,,,,,,,,,
,All information in the report pertains to audited VDs.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,% Voter Turnout = (Highest of either Ward and PR Total Votes Cast) / (Registered Population + MEC7 Votes) * 100.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Municipality,,,,,"Registered 
Voters",,"MEC7
Votes","Voter
Turnout",,,"% Voter 
Turnout",,
,MP301 - Chief Albert Luthuli,,,,,"92,592",,279,"55,159",,,59.39%,,
,MP302 - Msukaligwa,,,,,"71,337",,175,"41,096",,,57.47%,,
,MP303 - Mkhondo,,,,,"71,990",,273,"41,286",,,57.13%,,
,MP304 - Dr Pixley Ka Isaka Seme,,,,,"38,501",,64,"22,846",,,59.24%,,
,MP305 - Lekwa,,,,,"53,249",,250,"30,614",,,57.22%,,
,MP306 - Dipaleseng,,,,,"21,413",,11,"12,858",,,60.02%,,
,MP307 - Govan Mbeki,,,,,"145,295",,393,"78,296",,,53.74%,,
,MP311 - Victor Khanye,,,,,"33,451",,198,"18,539",,,55.10%,,
,MP312 - Emalahleni,,,,,"189,524",,"1,646","98,184",,,51.36%,,
,MP313 - Steve Tshwete,,,,,"110,703",,271,"58,682",,,52.88%,,
,MP314 - Emakhazeni,,,,,"26,651",,199,"15,108",,,56.27%,,
,MP315 - Thembisile Hani,,,,,"154,722",,457,"85,455",,,55.07%,,
,MP316 - Dr JS Moroka,,,,,"130,145",,962,"71,620",,,54.63%,,
,MP321 - Thaba Chweu,,,,,"51,549",,6,"27,759",,,53.84%,,
,MP324 - Nkomazi,,,,,"167,009",,611,"102,077",,,60.90%,,
,MP325 - Bushbuckridge,,,,,"244,180",,"1,288","131,551",,,53.59%,,
,MP326 - Mbombela/Umjindi,,,,,"316,905",,588,"191,535",,,60.33%,,
,Total,,,,,"1,919,216",,"7,671","1,082,665",,,56.19%,,
,,,,,,,,,,,,,,
