Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,AFRICAN NATIONAL CONGRESS,236,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,AFRICAN PEOPLE'S MOVEMENT,1,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,AFRICAN TRANSFORMATION MOVEMENT,0,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,AZANIA RESIDENT PARTY,0,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,DEMOCRATIC ALLIANCE,7,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,DISABILITY AND OLDER PERSON POLITICAL PARTY,0,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,ECONOMIC FREEDOM FIGHTERS,78,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,FORUM 4 SERVICE DELIVERY,0,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,INKATHA FREEDOM PARTY,27,11/23/2021 4:37:59 PM
Mpumalanga,MP301 - Chief Albert Luthuli,Ward 83001001,54220148,NDLELA TRADITIONAL COUNCIL OFFICES,1017,DC 40%,5,VRYHEIDSFRONT PLUS,1,11/23/2021 4:37:59 PM
