Province,Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,BallotType,SpoiltVotes,PartyName,TotalValidVotes,DateGenerated
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,AFRICAN CHRISTIAN DEMOCRATIC PARTY,3,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,AFRICAN NATIONAL CONGRESS,605,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,CONGRESS  OF THE PEOPLE,0,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,26,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,FEDERAL CONGRESS,1,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,INDEPENDENT RATEPAYERS ASSOCIATION OF SA,0,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,PAN AFRICANIST CONGRESS OF AZANIA,0,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,DC 40%,7,VRYHEIDSFRONT PLUS,0,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,PR,8,AFRICAN CHRISTIAN DEMOCRATIC PARTY,3,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,PR,8,AFRICAN NATIONAL CONGRESS,603,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,PR,8,CONGRESS  OF THE PEOPLE,1,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,PR,8,DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,23,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,PR,8,NATIONAL FREEDOM PARTY,4,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,PR,8,VRYHEIDSFRONT PLUS,0,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,Ward,10,AFRICAN CHRISTIAN DEMOCRATIC PARTY,12,5/26/2011 4:36:55 PM
Mpumalanga,MP301 - Albert Luthuli [Elukwatini/Carolina],Ward 83001001,54220148,NDLELA TRIBAL AUTHORITY OFFICES,1231,Ward,10,AFRICAN NATIONAL CONGRESS,586,5/26/2011 4:36:55 PM
