,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Voter Turnout Report,,,,,,,,,,,
,,,,,Printed on: 2011/05/26 16:32:58,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Electoral Event:,Local Government Elections 2011,,,,,,,,
,,,,,,Province:,Mpumalanga,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Municipality:,All Municipalities,,,,,,,,
,,,,,,,,,,,,,,,
,All information in the report pertains to audited VDs.,,,,,,,,,,,,,,
,Voter Turnout = Highest of either Ward or PR Total Votes Cast.,,,,,,,,,,,,,,
,% Voter Turnout = (Highest of either Ward and PR Total Votes Cast) / (Registered Population + MEC7 Votes) * 100.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Municipality,,,,,"Registered 
Voters",,"MEC7
Votes","Voter
Turnout",,,"% Voter 
Turnout",,,
,MP301 - Albert Luthuli [Elukwatini/Carolina],,,,,"83,153",,220,"48,470",,,58.14%,,,
,MP302 - Msukaligwa [Ermelo],,,,,"62,384",,115,"35,554",,,56.89%,,,
,MP303 - Mkhondo [Piet Retief],,,,,"63,859",,75,"37,950",,,59.36%,,,
,MP304 - Pixley Ka Seme [Volksrust],,,,,"34,578",,47,"21,089",,,60.91%,,,
,MP305 - Lekwa [Standerton],,,,,"49,204",,170,"29,488",,,59.72%,,,
,MP306 - Dipaleseng [Balfour],,,,,"19,547",,87,"12,076",,,61.51%,,,
,MP307 - Govan Mbeki [Highveld Ridge],,,,,"131,576",,283,"72,201",,,54.76%,,,
,MP311 - Delmas [Delmas],,,,,"28,664",,22,"16,276",,,56.74%,,,
,MP312 - Emalahleni [Witbank],,,,,"167,689",,148,"90,008",,,53.63%,,,
,MP313 - Steve Tshwete [Middelburg],,,,,"98,060",,357,"54,063",,,54.93%,,,
,MP314 - Emakhazeni [Belfast],,,,,"24,500",,12,"14,697",,,59.96%,,,
,MP315 - Thembisile [KwaMhlanga],,,,,"138,008",,134,"77,071",,,55.79%,,,
,MP316 - Dr JS Moroka [Mdutjana],,,,,"118,114",,293,"62,771",,,53.01%,,,
,MP321 - Thaba Chweu [Sabie],,,,,"45,624",,11,"24,454",,,53.59%,,,
,MP322 - Mbombela [Nelspruit],,,,,"254,137",,664,"146,217",,,57.38%,,,
,MP323 - Umjindi [Barberton],,,,,"29,064",,14,"16,724",,,57.51%,,,
,MP324 - Nkomazi [Nkomazi],,,,,"146,958",,135,"85,129",,,57.87%,,,
,MP325 - Bushbuckridge [Bushbuckridge],,,,,"223,190",,609,"116,510",,,52.06%,,,
,Total,,,,,"1,718,309",,"3,396","960,748",,,55.80%,,,
