,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Voter Turnout Report,,,,,,,,,,
,,,,,Printed on: 2021/11/22 16:30:13,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Electoral Event:,LOCAL GOVERNMENT ELECTION 2021,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Province:,Mpumalanga,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Municipality:,All Municipalities,,,,,,,
,,,,,,,,,,,,,,
,All information in the report pertains to audited VDs.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,% Voter Turnout = (Highest of either Ward and PR Total Votes Cast) / (Registered Population + MEC7 Votes) * 100.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Municipality,,,,,"Registered 
Voters",,"MEC7
Votes","Voter
Turnout",,,"% Voter 
Turnout",,
,MP301 - Chief Albert Luthuli,,,,,"92,803",,199,"40,605",,,43.66%,,
,MP302 - Msukaligwa,,,,,"69,662",,195,"28,527",,,40.84%,,
,MP303 - Mkhondo,,,,,"70,522",,622,"31,022",,,43.60%,,
,MP304 - Dr Pixley Ka Isaka Seme,,,,,"37,767",,107,"17,084",,,45.11%,,
,MP305 - Lekwa,,,,,"51,116",,152,"23,569",,,45.97%,,
,MP306 - Dipaleseng,,,,,"20,948",,8,"9,638",,,45.99%,,
,MP307 - Govan Mbeki,,,,,"141,058",,968,"57,784",,,40.69%,,
,MP311 - Victor Khanye,,,,,"34,548",,39,"18,020",,,52.10%,,
,MP312 - Emalahleni,,,,,"186,763",,605,"73,992",,,39.49%,,
,MP313 - Steve Tshwete,,,,,"108,499",,242,"48,311",,,44.43%,,
,MP314 - Emakhazeni,,,,,"26,486",,39,"12,656",,,47.71%,,
,MP315 - Thembisile Hani,,,,,"151,479",,295,"61,898",,,40.78%,,
,MP316 - Dr JS Moroka,,,,,"123,373",,561,"53,198",,,42.92%,,
,MP321 - Thaba Chweu,,,,,"50,959",,86,"22,209",,,43.51%,,
,MP324 - Nkomazi,,,,,"172,783",,558,"78,409",,,45.23%,,
,MP325 - Bushbuckridge,,,,,"246,357",,"1,225","106,536",,,43.03%,,
,MP326 - City of Mbombela,,,,,"318,116",,"1,013","131,287",,,41.14%,,
,Total,,,,,"1,903,239",,"6,914","814,745",,,42.65%,,
,,,,,,,,,,,,,,
