figure_id,topic,geography_level,geography,period,channel,age_group,gender,measure,value,unit,value_precision,source_publisher,source_url,publication_date,attributed_to,notes,allowed_use
ONL_01,digital_registration,national,South Africa,registration period to 2026-07-30,all,all,all,registration_transactions,815000,count,lower_bound,ITWeb,https://www.itweb.co.za/article/iec-sees-strong-online-voter-registration-uptake/xnklOqz1QrGM4Ymz,2026-07-30,IEC CEO Sy Mamabolo,"Reported as ""more than 815 000""",context_only
ONL_02,digital_registration,national,South Africa,registration period to 2026-07-30,online,all,all,registration_transactions,603572,count,exact,ITWeb,https://www.itweb.co.za/article/iec-sees-strong-online-voter-registration-uptake/xnklOqz1QrGM4Ymz,2026-07-30,IEC CEO Sy Mamabolo,Processed through the online voter registration portal,context_only
ONL_03,digital_registration,national,South Africa,registration period to 2026-07-30,online,all,all,share_of_all_transactions,74,percent,rounded,ITWeb,https://www.itweb.co.za/article/iec-sees-strong-online-voter-registration-uptake/xnklOqz1QrGM4Ymz,2026-07-30,IEC CEO Sy Mamabolo,Online share of all transactions,context_only
ONL_04,digital_registration,national,South Africa,registration period to 2026-07-30,online,all,female,share_of_online_activity,61,percent,rounded,ITWeb,https://www.itweb.co.za/article/iec-sees-strong-online-voter-registration-uptake/xnklOqz1QrGM4Ymz,2026-07-30,IEC CEO Sy Mamabolo,,context_only
ONL_05,digital_registration,national,South Africa,registration period to 2026-07-30,online,16-29,all,share_of_online_transactions,50,percent,rounded,ITWeb,https://www.itweb.co.za/article/iec-sees-strong-online-voter-registration-uptake/xnklOqz1QrGM4Ymz,2026-07-30,IEC CEO Sy Mamabolo,Note IEC uses 16-29 (16-17 may pre-register),context_only
ONL_06,youth_registration,national,South Africa,registration period to 2026-07-30,all,16-29,all,new_registration_share_of_age_group_transactions,52,percent,lower_bound,ITWeb,https://www.itweb.co.za/article/iec-sees-strong-online-voter-registration-uptake/xnklOqz1QrGM4Ymz,2026-07-30,IEC CEO Sy Mamabolo,"Reported as ""just over 52%""",context_only
WKD_01,registration_weekend,national,South Africa,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,1700000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Final registration weekend,context_only
WKD_02,registration_weekend,national,South Africa,2026-08-01 to 2026-08-02,all,all,all,first_time_registrations,291016,count,exact,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_03,digital_registration,national,South Africa,2026-08-01 to 2026-08-02,online,all,all,registration_transactions,238000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Online portal transactions during the weekend,context_only
WKD_04,registration_weekend,national,South Africa,2026-08-01 to 2026-08-02,in_person,all,all,registration_transactions,1500000,count,rounded,Independent on Saturday,https://independentonsaturday.co.za/news/2026-08-04-iec-reports-significant-youth-turnout-in-voter-registrations-for-upcoming-local-government-elections/,2026-08-04,IEC,At voting stations (88%),context_only
WKD_05,youth_registration,national,South Africa,2026-08-01 to 2026-08-02,all,16-29,all,registration_transactions,485000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,26% of weekend transactions,context_only
WKD_06,youth_registration,national,South Africa,2026-08-01 to 2026-08-02,all,under 29,all,share_of_first_time_registrations,46,percent,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_07,registration_weekend,national,South Africa,2026-08-01 to 2026-08-02,all,all,female,registration_transactions,1056000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Independent on Saturday reports ~1 million (56%),context_only
WKD_08,registration_weekend,national,South Africa,2026-08-01 to 2026-08-02,all,all,male,registration_transactions,788000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,~44% of activity,context_only
WKD_P01,registration_weekend,province,KwaZulu-Natal,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,427000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P02,registration_weekend,province,Gauteng,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,314000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P03,registration_weekend,province,Eastern Cape,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,313000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P04,registration_weekend,province,Limpopo,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,209000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P05,registration_weekend,province,Western Cape,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,134000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P06,registration_weekend,province,Mpumalanga,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,133000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P07,registration_weekend,province,North West,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,116000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P08,registration_weekend,province,Free State,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,97000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_P09,registration_weekend,province,Northern Cape,2026-08-01 to 2026-08-02,all,all,all,registration_transactions,47000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
WKD_O01,digital_registration,province,Gauteng,2026-08-01 to 2026-08-02,online,all,all,registration_transactions,86000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Online split only published for 3 provinces,context_only
WKD_O02,digital_registration,province,KwaZulu-Natal,2026-08-01 to 2026-08-02,online,all,all,registration_transactions,41000,count,rounded,Independent on Saturday,https://independentonsaturday.co.za/news/2026-08-04-iec-reports-significant-youth-turnout-in-voter-registrations-for-upcoming-local-government-elections/,2026-08-04,IEC,Online split only published for 3 provinces,context_only
WKD_O03,digital_registration,province,Western Cape,2026-08-01 to 2026-08-02,online,all,all,registration_transactions,33000,count,rounded,Independent on Saturday,https://independentonsaturday.co.za/news/2026-08-04-iec-reports-significant-youth-turnout-in-voter-registrations-for-upcoming-local-government-elections/,2026-08-04,IEC,Online split only published for 3 provinces,context_only
WKD_I01,registration_weekend,province,KwaZulu-Natal,2026-08-01 to 2026-08-02,in_person,all,all,registration_transactions,386000,count,rounded,Independent on Saturday,https://independentonsaturday.co.za/news/2026-08-04-iec-reports-significant-youth-turnout-in-voter-registrations-for-upcoming-local-government-elections/,2026-08-04,IEC,,context_only
WKD_I02,registration_weekend,province,Gauteng,2026-08-01 to 2026-08-02,in_person,all,all,registration_transactions,228000,count,rounded,Independent on Saturday,https://independentonsaturday.co.za/news/2026-08-04-iec-reports-significant-youth-turnout-in-voter-registrations-for-upcoming-local-government-elections/,2026-08-04,IEC,,context_only
WKD_I03,registration_weekend,province,Eastern Cape,2026-08-01 to 2026-08-02,in_person,all,all,registration_transactions,295000,count,rounded,Independent on Saturday,https://independentonsaturday.co.za/news/2026-08-04-iec-reports-significant-youth-turnout-in-voter-registrations-for-upcoming-local-government-elections/,2026-08-04,IEC,,context_only
WKD_Y01,youth_registration,province,KwaZulu-Natal,2026-08-01 to 2026-08-02,all,16-29,all,registration_transactions,137000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Youth split only published for 3 provinces,context_only
WKD_Y02,youth_registration,province,Eastern Cape,2026-08-01 to 2026-08-02,all,16-29,all,registration_transactions,79000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Youth split only published for 3 provinces,context_only
WKD_Y03,youth_registration,province,Gauteng,2026-08-01 to 2026-08-02,all,16-29,all,registration_transactions,78000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Youth split only published for 3 provinces,context_only
DRV_01,registration_weekend,national,South Africa,June and August 2026 registration weekends,all,all,all,voter_interactions,4700000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Both 2026 registration drives combined,context_only
DRV_02,registration_weekend,national,South Africa,June and August 2026 registration weekends,all,all,all,new_voters_added,754000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,,context_only
DRV_03,registration_weekend,national,South Africa,2024 NPE to 2026-08,all,all,all,voters_roll_growth,2100000,count,rounded,Joburg ETC,https://www.joburgetc.com/news/iec-records-1-7-million-transactions-voters-roll-grows-2-1-million/,2026-08-03,IEC,Growth since 2024 national elections,context_only
YT_01,youth_turnout,national,South Africa,LGE 2016,all,20-29,all,turnout_of_registered,50,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC data,,context_and_validation
YT_02,youth_turnout,national,South Africa,LGE 2021,all,20-29,all,turnout_of_registered,35,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC data,,context_and_validation
YT_03,youth_turnout,national,South Africa,LGE 2021,all,18-19,all,turnout_of_registered,71,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC data,,context_and_validation
YT_04,youth_turnout,national,South Africa,LGE 2021,all,30-39,all,turnout_of_registered,35,percent,approximate,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC data,"Article says ""similar"" to 20-29; value approximate",context_and_validation
YT_05,youth_turnout,national,South Africa,LGE 2016,all,40+,all,turnout_of_registered,62,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC data,,context_and_validation
YT_06,youth_turnout,national,South Africa,LGE 2021,all,40+,all,turnout_of_registered,54,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC data,Averaged across 40+ age groups,context_and_validation
YR_01,youth_registration,national,South Africa,2005,all,18-19,all,self_reported_registered_share,30,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC survey,Survey estimate not roll count,context_only
YR_02,youth_registration,national,South Africa,2021,all,18-19,all,self_reported_registered_share,15,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC survey,Survey estimate not roll count,context_only
YR_03,youth_registration,national,South Africa,2005,all,20-24,all,self_reported_registered_share,57,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC survey,Survey estimate not roll count,context_only
YR_04,youth_registration,national,South Africa,2021,all,20-24,all,self_reported_registered_share,49,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC survey,Survey estimate not roll count,context_only
YR_05,youth_registration,national,South Africa,2005,all,25-34,all,self_reported_registered_share,86,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC survey,Survey estimate not roll count,context_only
YR_06,youth_registration,national,South Africa,2021,all,25-34,all,self_reported_registered_share,79,percent,rounded,GroundUp,https://groundup.org.za/article/young-people-stay-home-on-voters-day/,2026-07-31,IEC survey,Survey estimate not roll count,context_only
