"# Municipality code crosswalk across boundary/demarcation versions, ALL PROVINCES (national), 2000-2026."
# Sources: IEC Atlas GeoServer (atlas.elections.org.za) per-election-year municipality layers (2000/2006/2011/2016/2021); MDB_Local_Municipalities_2026.csv (current).
"# Raw / unfiltered by design -- province-level filtering (e.g. to Mpumalanga) to be done as a later cleaning step, not here."
municipality_code,municipality_name,province,election_year,boundary_version
,EC05b2 - Umzimvubu [Mount Ayliff],Eastern Cape,2000,LGE2000_boundary
,EC05b3 - Matatiele [Matatiele],Eastern Cape,2000,LGE2000_boundary
EC101,Camdeboo [Graaff-Reinet],Eastern Cape,2000,LGE2000_boundary
EC102,Blue Crane Route [Somerset East],Eastern Cape,2000,LGE2000_boundary
EC103,Ikwezi [Jansenville],Eastern Cape,2000,LGE2000_boundary
EC104,Makana [Grahamstown],Eastern Cape,2000,LGE2000_boundary
EC105,Ndlambe [Port Alfred],Eastern Cape,2000,LGE2000_boundary
EC106,Sundays River Valley [Kirkwood],Eastern Cape,2000,LGE2000_boundary
EC107,Baviaans [Willowmore],Eastern Cape,2000,LGE2000_boundary
EC108,Kouga [Humansdorp],Eastern Cape,2000,LGE2000_boundary
EC109,Kou-Kamma [Kareedouw],Eastern Cape,2000,LGE2000_boundary
EC121,Mbhashe [Idutywa],Eastern Cape,2000,LGE2000_boundary
EC122,Mnquma [Butterworth],Eastern Cape,2000,LGE2000_boundary
EC123,Great Kei [Komga],Eastern Cape,2000,LGE2000_boundary
EC124,Amahlathi [Stutterheim],Eastern Cape,2000,LGE2000_boundary
EC125,Buffalo City [East London],Eastern Cape,2000,LGE2000_boundary
EC126,Ngqushwa [Peddie],Eastern Cape,2000,LGE2000_boundary
EC127,Nkonkobe [Alice],Eastern Cape,2000,LGE2000_boundary
EC128,Nxuba [Adelaide],Eastern Cape,2000,LGE2000_boundary
EC131,Inxuba Yethemba [Cradock],Eastern Cape,2000,LGE2000_boundary
EC132,Tsolwana [Tarkastad],Eastern Cape,2000,LGE2000_boundary
EC133,Inkwanca [Molteno],Eastern Cape,2000,LGE2000_boundary
EC134,Lukhanji [Queenstown],Eastern Cape,2000,LGE2000_boundary
EC135,Intsika Yethu [Cofimvaba],Eastern Cape,2000,LGE2000_boundary
EC136,Emalahleni [Lady Frere],Eastern Cape,2000,LGE2000_boundary
EC137,Engcobo [Engcobo],Eastern Cape,2000,LGE2000_boundary
EC138,Sakhisizwe [Elliot],Eastern Cape,2000,LGE2000_boundary
EC141,Elundini [Mount Fletcher],Eastern Cape,2000,LGE2000_boundary
EC142,Senqu [Barkly East],Eastern Cape,2000,LGE2000_boundary
EC143,Maletswai [Aliwal North],Eastern Cape,2000,LGE2000_boundary
EC144,Gariep [Burgersdorp],Eastern Cape,2000,LGE2000_boundary
EC151,Mbizana [Bizana],Eastern Cape,2000,LGE2000_boundary
EC152,Ntabankulu [Ntabankulu],Eastern Cape,2000,LGE2000_boundary
EC153,Qaukeni [Flagstaff (Ingquza Hill)],Eastern Cape,2000,LGE2000_boundary
EC154,Port St Johns [Port St Johns],Eastern Cape,2000,LGE2000_boundary
EC155,Nyandeni [Libode],Eastern Cape,2000,LGE2000_boundary
EC156,Mhlontlo [Qumbu],Eastern Cape,2000,LGE2000_boundary
EC157,King Sabata Dalindyebo [Umtata],Eastern Cape,2000,LGE2000_boundary
ECDMA10,Aberdeen Plain,Eastern Cape,2000,LGE2000_boundary
ECDMA13,Mount Zebra NP,Eastern Cape,2000,LGE2000_boundary
ECDMA14,Oviston Nature Reserve,Eastern Cape,2000,LGE2000_boundary
ECDMA44,O Conners Camp,Eastern Cape,2000,LGE2000_boundary
NMA,Nelson Mandela Bay [Port Elizabeth],Eastern Cape,2000,LGE2000_boundary
FS161,Letsemeng [Koffiefontein],Free State,2000,LGE2000_boundary
FS162,Kopanong [Trompsburg],Free State,2000,LGE2000_boundary
FS163,Mohokare [Zastron],Free State,2000,LGE2000_boundary
FS171,Naledi [Dewetsdorp],Free State,2000,LGE2000_boundary
FS172,Mangaung [Bloemfontein],Free State,2000,LGE2000_boundary
FS173,Mantsopa [Ladybrand],Free State,2000,LGE2000_boundary
FS181,Masilonyana [Theunissen],Free State,2000,LGE2000_boundary
FS182,Tokologo [Dealesville],Free State,2000,LGE2000_boundary
