year,event,code,name,town,cur,pop,reg,votes,note,src
2004,14 Apr 2004 Provincial Election,CBDMA3,Schuinsdraai Nature Reserve,,Not in 2024 list,25,25,0,Cross-boundary municipality (2004); District Management Area; No completed results,MP_1.xls
2004,14 Apr 2004 Provincial Election,CBDMA4,Kruger Park,,Not in 2024 list,2556,2556,1776,Cross-boundary municipality (2004); District Management Area,MP_1.xls
2004,14 Apr 2004 Provincial Election,CBLC2,Kungwini,Bronkhorstspruit,Not in 2024 list,17599,17599,13442,Cross-boundary municipality (2004),MP_1.xls
2004,14 Apr 2004 Provincial Election,CBLC3,Greater Marble Hall,Marble Hall,Not in 2024 list,21840,21840,15982,Cross-boundary municipality (2004),MP_1.xls
2004,14 Apr 2004 Provincial Election,CBLC4,Greater Groblersdal,Groblersdal,Not in 2024 list,60872,60872,45996,Cross-boundary municipality (2004),MP_1.xls
2004,14 Apr 2004 Provincial Election,CBLC5,Greater Tubatse,Burgersfort/Ohrigstad/Eastern Tubatse,Not in 2024 list,13897,13897,10660,Cross-boundary municipality (2004),MP_1.xls
2004,14 Apr 2004 Provincial Election,MP301,Albert Luthuli,Elukwatini/Carolina,Chief Albert Luthuli,78379,78379,63014,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP302,Msukaligwa,Ermelo,Msukaligwa,57159,57159,45802,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP303,Mkhondo,Piet Retief,Mkhondo,54546,54546,41288,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP304,Seme,Volksrust,Dr Pixley Ka Isaka Seme,34008,34008,26277,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP305,Lekwa,Standerton,Lekwa,46125,46125,36292,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP306,Dipaleseng,Balfour,Dipaleseng,18778,18778,14466,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP307,Highveld East,Highveld Ridge,Govan Mbeki,121005,121005,92491,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP311,Delmas,Delmas,Victor Khanye,25051,25051,19157,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP312,Emalahleni,Witbank,Emalahleni,148186,148186,112342,,MP_1.xls
2004,14 Apr 2004 Provincial Election,MP313,Steve Tshwete,Middelburg,Steve Tshwete,85305,85305,65065,,MP_1.xls
