# Source: https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics (IEC live dashboard)
"# Scraped live, all provinces, unfiltered. As-of date on IEC site: 23 September 2026"
province,municipality_code,municipality_name,age_group,gender,registered_voters,is_youth
Eastern Cape,BUF,Buffalo City,18-19,male,4812,True
Eastern Cape,BUF,Buffalo City,18-19,female,6090,True
Eastern Cape,BUF,Buffalo City,20-29,male,30126,True
Eastern Cape,BUF,Buffalo City,20-29,female,39633,True
Eastern Cape,BUF,Buffalo City,30-39,male,43001,False
Eastern Cape,BUF,Buffalo City,30-39,female,54187,False
Eastern Cape,BUF,Buffalo City,40-49,male,46168,False
Eastern Cape,BUF,Buffalo City,40-49,female,54257,False
Eastern Cape,BUF,Buffalo City,50-59,male,36246,False
Eastern Cape,BUF,Buffalo City,50-59,female,45406,False
Eastern Cape,BUF,Buffalo City,60-69,male,24056,False
Eastern Cape,BUF,Buffalo City,60-69,female,35619,False
Eastern Cape,BUF,Buffalo City,70-79,male,10480,False
Eastern Cape,BUF,Buffalo City,70-79,female,16865,False
Eastern Cape,BUF,Buffalo City,80+,male,3511,False
Eastern Cape,BUF,Buffalo City,80+,female,8138,False
Eastern Cape,EC101,Dr. Beyers Naude,18-19,male,507,True
Eastern Cape,EC101,Dr. Beyers Naude,18-19,female,641,True
Eastern Cape,EC101,Dr. Beyers Naude,20-29,male,3189,True
Eastern Cape,EC101,Dr. Beyers Naude,20-29,female,4088,True
Eastern Cape,EC101,Dr. Beyers Naude,30-39,male,4312,False
Eastern Cape,EC101,Dr. Beyers Naude,30-39,female,5016,False
Eastern Cape,EC101,Dr. Beyers Naude,40-49,male,4094,False
Eastern Cape,EC101,Dr. Beyers Naude,40-49,female,4658,False
Eastern Cape,EC101,Dr. Beyers Naude,50-59,male,3474,False
Eastern Cape,EC101,Dr. Beyers Naude,50-59,female,3970,False
Eastern Cape,EC101,Dr. Beyers Naude,60-69,male,2387,False
Eastern Cape,EC101,Dr. Beyers Naude,60-69,female,3143,False
Eastern Cape,EC101,Dr. Beyers Naude,70-79,male,1037,False
Eastern Cape,EC101,Dr. Beyers Naude,70-79,female,1629,False
Eastern Cape,EC101,Dr. Beyers Naude,80+,male,346,False
Eastern Cape,EC101,Dr. Beyers Naude,80+,female,729,False
Eastern Cape,EC102,Blue Crane Route,18-19,male,322,True
Eastern Cape,EC102,Blue Crane Route,18-19,female,345,True
Eastern Cape,EC102,Blue Crane Route,20-29,male,1396,True
Eastern Cape,EC102,Blue Crane Route,20-29,female,1531,True
Eastern Cape,EC102,Blue Crane Route,30-39,male,1738,False
Eastern Cape,EC102,Blue Crane Route,30-39,female,2113,False
Eastern Cape,EC102,Blue Crane Route,40-49,male,1809,False
Eastern Cape,EC102,Blue Crane Route,40-49,female,2038,False
Eastern Cape,EC102,Blue Crane Route,50-59,male,1677,False
Eastern Cape,EC102,Blue Crane Route,50-59,female,1870,False
Eastern Cape,EC102,Blue Crane Route,60-69,male,1184,False
Eastern Cape,EC102,Blue Crane Route,60-69,female,1519,False
Eastern Cape,EC102,Blue Crane Route,70-79,male,504,False
Eastern Cape,EC102,Blue Crane Route,70-79,female,773,False
Eastern Cape,EC102,Blue Crane Route,80+,male,171,False
Eastern Cape,EC102,Blue Crane Route,80+,female,330,False
Eastern Cape,EC104,Makana,18-19,male,541,True
Eastern Cape,EC104,Makana,18-19,female,757,True
Eastern Cape,EC104,Makana,20-29,male,3472,True
Eastern Cape,EC104,Makana,20-29,female,5390,True
Eastern Cape,EC104,Makana,30-39,male,4283,False
Eastern Cape,EC104,Makana,30-39,female,5145,False
Eastern Cape,EC104,Makana,40-49,male,4444,False
Eastern Cape,EC104,Makana,40-49,female,5148,False
Eastern Cape,EC104,Makana,50-59,male,3645,False
Eastern Cape,EC104,Makana,50-59,female,4524,False
Eastern Cape,EC104,Makana,60-69,male,2474,False
Eastern Cape,EC104,Makana,60-69,female,3543,False
Eastern Cape,EC104,Makana,70-79,male,1003,False
