municipality_code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MP301,0.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
MP302,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
MP303,0.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
MP304,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0
MP305,0.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
MP306,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
MP307,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,,0.0,2.0,2.0,2.0,2.0
MP311,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
MP312,2.0,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
MP313,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0
MP314,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
MP315,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
MP316,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,0.0,0.0,2.0,2.0,2.0
MP321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,
MP324,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MP325,3.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
MP326,2.692,2.897,2.897,2.897,3.0,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
