municipality_code,district_code,households,sample_households,internet_any_pct,internet_any_answered_pct,internet_at_home_pct,internet_at_home_answered_pct,internet_mobile_only_pct,internet_mobile_only_answered_pct,cellphone_pct,cellphone_answered_pct,computer_pct,computer_answered_pct,motor_car_pct,motor_car_answered_pct,piped_water_in_yard_pct,piped_water_in_yard_answered_pct,electricity_lighting_pct,electricity_lighting_answered_pct,flush_toilet_pct,flush_toilet_answered_pct,refuse_weekly_pct,refuse_weekly_answered_pct,informal_dwelling_pct,informal_dwelling_answered_pct,rdp_house_pct,rdp_house_answered_pct,adult_hunger_pct,adult_hunger_answered_pct,female_headed_pct,female_headed_answered_pct,urban_pct,traditional_pct,farms_pct,mean_household_size,matric_or_higher_pct,higher_education_pct,no_schooling_pct,youth_matric_or_higher_pct,education_answered_pct,youth_share_of_adults_pct
MP301,DC30,63379.914,4769,77.504,80.358,3.914,80.358,69.175,80.358,92.548,80.358,15.526,80.339,26.498,80.358,83.727,100.0,95.752,100.0,40.462,100.0,33.125,100.0,3.078,100.0,19.993,80.274,18.481,79.918,50.058,100.0,19.818,71.729,8.453,3.252,44.754,4.61,14.239,60.76,93.407,31.133
MP302,DC30,67524.072,3857,78.152,78.101,7.616,78.101,66.09,78.101,91.544,78.101,20.043,78.101,28.858,78.072,84.834,100.0,86.101,100.0,78.997,100.0,74.578,100.0,11.194,100.0,41.473,76.678,16.157,77.102,45.818,100.0,86.3,0.0,13.7,2.99,45.332,5.411,10.825,56.604,93.468,26.864
MP303,DC30,58724.612,3424,70.072,81.382,3.912,81.382,64.083,81.382,90.738,81.382,12.667,81.353,22.23,81.349,76.527,100.0,88.515,100.0,51.309,100.0,48.748,100.0,3.074,100.0,28.152,81.142,30.404,80.313,51.323,100.0,51.855,11.307,36.837,3.559,38.187,3.668,11.764,51.723,92.609,31.574
MP304,DC30,33246.553,2016,75.719,82.646,6.556,82.646,61.979,82.646,91.117,82.646,19.232,82.646,25.777,82.646,92.443,100.0,91.5,100.0,77.495,100.0,72.854,100.0,6.351,100.0,51.648,82.558,16.793,81.211,51.27,100.0,73.982,14.032,11.986,3.246,42.62,5.306,12.047,53.097,93.306,27.425
MP305,DC30,38545.02,2219,79.768,83.052,11.344,83.052,65.073,83.052,92.285,83.052,25.873,82.962,34.421,83.052,94.068,100.0,94.435,100.0,91.817,100.0,80.041,100.0,10.284,100.0,43.271,82.605,10.824,82.739,46.095,100.0,91.522,0.0,8.478,3.116,44.011,6.856,7.804,53.51,93.233,27.011
MP306,DC30,13085.936,753,81.703,75.358,8.263,75.358,69.419,75.358,89.509,75.358,20.35,75.358,26.713,75.227,91.648,100.0,88.813,100.0,90.623,100.0,85.45,100.0,8.45,100.0,51.873,75.095,13.13,73.514,44.327,100.0,95.088,0.0,4.912,2.97,35.144,4.241,9.271,48.654,92.812,25.46
MP307,DC30,103617.923,5986,87.251,85.154,7.423,85.154,74.853,85.154,94.21,85.154,25.197,85.154,34.135,85.154,93.961,100.0,92.295,100.0,91.969,100.0,86.791,100.0,12.332,100.0,42.411,84.757,13.745,83.656,44.517,100.0,96.495,0.0,3.505,3.108,49.791,6.422,7.01,58.734,93.377,25.347
MP311,DC31,33627.373,1915,80.156,80.981,8.414,80.981,68.034,80.981,94.034,80.981,17.071,80.981,29.668,80.981,90.643,100.0,91.398,100.0,85.553,100.0,80.261,100.0,13.275,100.0,57.97,80.345,18.443,80.417,44.521,100.0,85.916,0.0,14.084,3.199,41.558,3.141,8.104,50.768,93.88,27.111
MP312,DC31,164458.619,9530,82.153,76.587,8.875,76.587,68.714,76.587,93.775,76.587,25.084,76.577,34.644,76.577,81.997,100.0,83.66,100.0,78.345,100.0,68.743,100.0,11.226,100.0,37.278,75.847,21.644,75.517,42.763,100.0,96.85,0.323,2.828,2.998,50.817,6.888,5.302,59.059,93.571,25.265
MP313,DC31,80035.481,4596,85.301,82.5,10.306,82.5,71.06,82.5,94.559,82.5,28.709,82.5,39.231,82.5,88.218,100.0,93.015,100.0,87.545,100.0,88.583,100.0,8.575,100.0,43.248,81.399,14.995,80.625,44.553,100.0,91.736,0.0,8.264,3.061,57.255,7.721,6.109,66.813,93.585,24.263
MP314,DC31,19333.065,1108,79.997,72.3,4.731,72.3,70.707,72.3,91.71,72.13,21.346,72.211,29.673,72.211,95.113,100.0,93.952,100.0,93.366,100.0,87.329,100.0,4.438,100.0,55.623,71.819,13.449,71.104,48.334,100.0,91.604,0.0,8.396,2.902,45.443,4.494,14.18,59.252,94.211,25.229
MP315,DC31,110237.366,7871,76.928,80.769,3.419,80.769,66.99,80.769,94.221,80.769,20.067,80.774,28.538,80.769,81.87,100.0,96.87,100.0,27.846,100.0,37.862,100.0,3.153,100.0,11.064,80.637,22.213,79.806,48.479,100.0,31.162,56.601,12.237,3.41,45.117,4.652,12.853,60.424,93.062,27.818
