feature,source,known_before_election,model_set,missing_pct
vd_turnout_lag1,"IEC results, earlier elections (Stage 2)",yes,first version only,13.4
vd_turnout_lag2,"IEC results, earlier elections (Stage 2)",yes,first version only,40.9
vd_turnout_change_lag,"IEC results, earlier elections (Stage 2)",yes,first version only,40.9
vd_rel_lag1,"IEC results, earlier elections (Stage 2)",yes,local position model,13.4
vd_rel_lag2,"IEC results, earlier elections (Stage 2)",yes,local position model,40.9
vd_rel_change_lag,"IEC results, earlier elections (Stage 2)",yes,local position model,40.9
vd_registered_lag1_log,"IEC results, earlier elections (Stage 2)",yes,local position model,13.4
vd_spoilt_pct_lag1,"IEC results, earlier elections (Stage 2)",yes,local position model,13.4
vd_enp_lag1,"IEC results, PR-ballot party votes at the previous election (Stage 2)",yes,local position model,13.4
vd_winner_share_lag1,"IEC results, PR-ballot party votes at the previous election (Stage 2)",yes,local position model,13.4
vd_margin_lag1,"IEC results, PR-ballot party votes at the previous election (Stage 2)",yes,local position model,13.4
vd_anc_share_lag1,"IEC results, PR-ballot party votes at the previous election (Stage 2)",yes,local position model,13.4
vd_anc_change_lag,"IEC results, PR-ballot party votes at the previous election (Stage 2)",yes,local position model,41.0
muni_turnout_lag1,"IEC results, earlier elections (Stage 2)",yes,first version only,0.0
muni_turnout_lag2,"IEC results, earlier elections (Stage 2)",yes,first version only,19.8
muni_rel_lag1,"IEC results, earlier elections (Stage 2)",yes,local position model,0.0
muni_rel_lag2,"IEC results, earlier elections (Stage 2)",yes,local position model,19.8
province_turnout_lag1,"IEC results, earlier elections (Stage 2)",yes,first version only,0.0
muni_roll_growth_pct,IEC voters roll (Stage 2; 2026: IEC dashboard),yes,municipal context (tested),0.0
muni_roll_growth_rel,IEC voters roll (Stage 2; 2026: IEC dashboard),yes,new feature (tested in Stage 5),0.0
vd_beta,"IEC results, earlier elections (Stage 2)",yes,new feature (tested in Stage 5),65.4
vd_rel_volatility,"IEC results, earlier elections (Stage 2)",yes,new feature (tested in Stage 5),65.4
