municipality_code_2021,province_2021,municipality_name_2021,turnout_2000,turnout_2006,turnout_2011,turnout_2016,turnout_2021,turnout_change_2016_2021_pp,audit_score_latest,audit_score_avg_last3,registration_rate_2021_pct,registration_rate_2026_pct,youth_registration_rate_2026_pct,older_registration_rate_2026_pct,youth_registration_gap_pp,youth_share_of_roll_2026_pct,roll_growth_2021_2026_pct,registered_2026,eligible_18plus_2026,c22_internet_any_pct,c22_internet_at_home_pct,c22_computer_pct,c22_motor_car_pct,c22_piped_water_in_yard_pct,c22_electricity_lighting_pct,c22_flush_toilet_pct,c22_refuse_weekly_pct,c22_informal_dwelling_pct,c22_rdp_house_pct,c22_adult_hunger_pct,c22_female_headed_pct,c22_urban_pct,c22_traditional_pct,c22_farms_pct,c22_mean_household_size,c22_matric_or_higher_pct,c22_higher_education_pct,c22_no_schooling_pct,c22_youth_matric_or_higher_pct,c22_youth_share_of_adults_pct,participation_2021_pct
MP301,Mpumalanga,MP301 - Chief Albert Luthuli,49.036,54.003,58.29,59.572,43.754,-15.818,2.0,2.0,60.665,59.032,44.128,65.77,21.642,23.272,12.296,104214,176536.909,77.504,3.914,15.526,26.498,83.727,95.752,40.462,33.125,3.078,19.993,18.481,50.058,19.818,71.729,8.453,3.252,44.754,4.61,14.239,60.76,31.133,26.543
MP302,Mpumalanga,MP302 - Msukaligwa,47.958,48.892,56.992,57.608,40.951,-16.658,2.0,2.0,52.226,51.648,36.219,57.315,21.096,18.839,10.534,77000,149086.733,78.152,7.616,20.043,28.858,84.834,86.101,78.997,74.578,11.194,41.473,16.157,45.818,86.3,0.0,13.7,2.99,45.332,5.411,10.825,56.604,26.864,21.387
MP303,Mpumalanga,MP303 - Mkhondo,48.807,52.807,59.428,57.35,43.989,-13.361,3.0,3.0,43.186,42.807,26.855,50.168,23.313,19.808,13.488,80034,186965.294,70.072,3.912,12.667,22.23,76.527,88.515,51.309,48.748,3.074,28.152,30.404,51.323,51.855,11.307,36.837,3.559,38.187,3.668,11.764,51.723,31.574,18.997
MP304,Mpumalanga,MP304 - Dr Pixley Ka Isaka Seme,49.002,52.588,60.99,59.339,45.235,-14.103,3.0,3.0,49.058,51.368,40.784,55.368,14.584,21.774,17.942,44543,86713.033,75.719,6.556,19.232,25.777,92.443,91.5,77.495,72.854,6.351,51.648,16.793,51.27,73.982,14.032,11.986,3.246,42.62,5.306,12.047,53.097,27.425,22.191
MP305,Mpumalanga,MP305 - Lekwa,48.003,48.727,59.93,57.492,46.109,-11.383,2.0,1.333,62.33,61.628,40.647,69.393,28.745,17.815,10.932,56704,92009.424,79.768,11.344,25.873,34.421,94.068,94.435,91.817,80.041,10.284,43.271,10.824,46.095,91.522,0.0,8.478,3.116,44.011,6.856,7.804,53.51,27.011,28.74
MP306,Mpumalanga,MP306 - Dipaleseng,50.664,52.948,61.779,60.048,46.009,-14.038,2.0,2.0,86.594,83.648,55.99,93.095,37.105,17.042,9.218,22879,27351.582,81.703,8.263,20.35,26.713,91.648,88.813,90.623,85.45,8.45,51.873,13.13,44.327,95.088,0.0,4.912,2.97,35.144,4.241,9.271,48.654,25.46,39.841
MP307,Mpumalanga,MP307 - Govan Mbeki,42.206,41.395,54.874,53.888,40.965,-12.923,2.0,2.0,66.767,66.277,41.026,74.851,33.825,15.69,9.916,155046,233936.218,87.251,7.423,25.197,34.135,93.961,92.295,91.969,86.791,12.332,42.411,13.745,44.517,96.495,0.0,3.505,3.108,49.791,6.422,7.01,58.734,25.347,27.351
MP311,Mpumalanga,MP311 - Victor Khanye,46.048,43.026,56.782,55.421,52.159,-3.262,2.0,2.0,50.002,53.335,38.73,58.768,20.038,19.687,18.797,41042,76950.929,80.156,8.414,17.071,29.668,90.643,91.398,85.553,80.261,13.275,57.97,18.443,44.521,85.916,0.0,14.084,3.199,41.558,3.141,8.104,50.768,27.111,26.081
MP312,Mpumalanga,MP312 - Emalahleni,40.474,42.096,53.676,51.806,39.618,-12.187,3.0,2.333,64.948,68.779,48.827,75.525,26.697,17.936,17.569,219576,319246.52,82.153,8.875,25.084,34.644,81.997,83.66,78.345,68.743,11.226,37.278,21.644,42.763,96.85,0.323,2.828,2.998,50.817,6.888,5.302,59.059,25.265,25.731
MP313,Mpumalanga,MP313 - Steve Tshwete,46.168,44.21,55.133,53.009,44.527,-8.482,2.0,2.333,65.05,66.037,42.968,73.427,30.458,15.787,12.63,122202,185051.949,85.301,10.306,28.709,39.231,88.218,93.015,87.545,88.583,8.575,43.248,14.995,44.553,91.736,0.0,8.264,3.061,57.255,7.721,6.109,66.813,24.263,28.965
