municipality_code_2021,turnout_2026_forecast,low_80,high_80,municipality_name_2021,turnout_2021,change_vs_2021_pp
MP301,50.141,35.496,50.69,MP301 - Chief Albert Luthuli,43.754,6.387
MP302,44.926,30.281,45.475,MP302 - Msukaligwa,40.951,3.976
MP303,49.606,34.961,50.155,MP303 - Mkhondo,43.989,5.617
MP304,50.483,35.838,51.032,MP304 - Dr Pixley Ka Isaka Seme,45.235,5.248
MP305,49.49,34.845,50.039,MP305 - Lekwa,46.109,3.381
MP306,50.881,36.236,51.429,MP306 - Dipaleseng,46.009,4.871
MP307,45.765,31.12,46.313,MP307 - Govan Mbeki,40.965,4.8
MP311,49.541,34.896,50.09,MP311 - Victor Khanye,52.159,-2.618
MP312,40.868,26.223,41.417,MP312 - Emalahleni,39.618,1.25
MP313,44.119,29.474,44.668,MP313 - Steve Tshwete,44.527,-0.407
MP314,47.513,32.868,48.061,MP314 - Emakhazeni,47.784,-0.271
MP315,46.907,32.262,47.456,MP315 - Thembisile Hani,40.862,6.045
MP316,49.403,34.758,49.952,MP316 - Dr JS Moroka,43.12,6.283
MP321,43.009,28.364,43.558,MP321 - Thaba Chweu,43.582,-0.573
MP324,49.883,35.238,50.432,MP324 - Nkomazi,45.38,4.503
MP325,49.696,35.051,50.245,MP325 - Bushbuckridge,43.422,6.274
MP326,40.917,26.272,41.465,MP326 - City of Mbombela,41.27,-0.354
