voting_district,municipality_code_2021,municipality_name_2021,registered_voters,turnout_forecast
54100011,MP304,MP304 - Dr Pixley Ka Isaka Seme,1582.0,49.289
54100022,MP304,MP304 - Dr Pixley Ka Isaka Seme,1505.0,53.083
54100033,MP304,MP304 - Dr Pixley Ka Isaka Seme,2011.0,50.531
54100044,MP304,MP304 - Dr Pixley Ka Isaka Seme,828.0,52.978
54100055,MP304,MP304 - Dr Pixley Ka Isaka Seme,101.0,61.317
54110012,MP303,MP303 - Mkhondo,1537.0,50.608
54110023,MP303,MP303 - Mkhondo,2391.0,47.878
54110034,MP303,MP303 - Mkhondo,1538.0,48.906
54120013,MP301,MP301 - Chief Albert Luthuli,171.0,43.212
54120024,MP301,MP301 - Chief Albert Luthuli,485.0,57.8
54120035,MP301,MP301 - Chief Albert Luthuli,283.0,51.765
54120046,MP301,MP301 - Chief Albert Luthuli,770.0,43.129
54120057,MP301,MP301 - Chief Albert Luthuli,152.0,49.754
54120068,MP301,MP301 - Chief Albert Luthuli,457.0,50.318
54120080,MP301,MP301 - Chief Albert Luthuli,793.0,51.511
54120091,MP301,MP301 - Chief Albert Luthuli,289.0,50.698
54120103,MP301,MP301 - Chief Albert Luthuli,905.0,58.43
54120114,MP301,MP301 - Chief Albert Luthuli,810.0,54.002
54120125,MP301,MP301 - Chief Albert Luthuli,1255.0,48.109
54120136,MP301,MP301 - Chief Albert Luthuli,510.0,54.029
54120147,MP301,MP301 - Chief Albert Luthuli,182.0,38.586
54120181,MP301,MP301 - Chief Albert Luthuli,345.0,61.656
54120192,MP301,MP301 - Chief Albert Luthuli,1118.0,53.26
54120215,MP301,MP301 - Chief Albert Luthuli,1054.0,53.705
54120226,MP301,MP301 - Chief Albert Luthuli,1252.0,58.669
54120237,MP301,MP301 - Chief Albert Luthuli,397.0,53.347
54120248,MP301,MP301 - Chief Albert Luthuli,671.0,54.018
54120259,MP301,MP301 - Chief Albert Luthuli,431.0,58.003
54120260,MP301,MP301 - Chief Albert Luthuli,246.0,51.704
54120271,MP301,MP301 - Chief Albert Luthuli,510.0,56.131
54120282,MP301,MP301 - Chief Albert Luthuli,155.0,50.32
54120293,MP301,MP301 - Chief Albert Luthuli,192.0,58.575
54130014,MP306,MP306 - Dipaleseng,1230.0,45.47
54130025,MP306,MP306 - Dipaleseng,989.0,47.92
54130036,MP306,MP306 - Dipaleseng,1439.0,52.425
54130047,MP306,MP306 - Dipaleseng,1886.0,48.495
54130070,MP306,MP306 - Dipaleseng,1430.0,52.558
54130081,MP306,MP306 - Dipaleseng,959.0,52.103
54130092,MP306,MP306 - Dipaleseng,660.0,49.056
54130104,MP306,MP306 - Dipaleseng,854.0,54.015
54130115,MP306,MP306 - Dipaleseng,487.0,58.435
54130126,MP306,MP306 - Dipaleseng,518.0,51.861
54130137,MP306,MP306 - Dipaleseng,733.0,52.658
54130148,MP306,MP306 - Dipaleseng,546.0,54.137
54130159,MP306,MP306 - Dipaleseng,588.0,53.945
54130160,MP306,MP306 - Dipaleseng,606.0,50.513
54130171,MP306,MP306 - Dipaleseng,88.0,64.244
54130182,MP306,MP306 - Dipaleseng,355.0,60.796
54140015,MP307,MP307 - Govan Mbeki,2374.0,39.608
54140026,MP307,MP307 - Govan Mbeki,1067.0,47.467
54140037,MP307,MP307 - Govan Mbeki,1262.0,47.727
54140048,MP307,MP307 - Govan Mbeki,2130.0,43.021
54140059,MP307,MP307 - Govan Mbeki,2410.0,54.511
54140060,MP307,MP307 - Govan Mbeki,1541.0,40.13
54140071,MP307,MP307 - Govan Mbeki,1608.0,48.007
54140082,MP307,MP307 - Govan Mbeki,2743.0,46.141
54140093,MP307,MP307 - Govan Mbeki,1896.0,48.073
54140105,MP307,MP307 - Govan Mbeki,2893.0,55.628
54140116,MP307,MP307 - Govan Mbeki,1225.0,48.81
54140127,MP307,MP307 - Govan Mbeki,1440.0,46.67
54140138,MP307,MP307 - Govan Mbeki,2498.0,46.707
54140149,MP307,MP307 - Govan Mbeki,949.0,47.803
54140150,MP307,MP307 - Govan Mbeki,2120.0,47.212
54140161,MP307,MP307 - Govan Mbeki,395.0,57.009
54140172,MP307,MP307 - Govan Mbeki,515.0,58.218
54140183,MP307,MP307 - Govan Mbeki,44.0,59.422
54150016,MP302,MP302 - Msukaligwa,2550.0,33.509
54150027,MP302,MP302 - Msukaligwa,1372.0,41.229
54150038,MP302,MP302 - Msukaligwa,592.0,45.724
54160017,MP301,MP301 - Chief Albert Luthuli,1712.0,47.059
54160028,MP301,MP301 - Chief Albert Luthuli,843.0,44.112
54160039,MP301,MP301 - Chief Albert Luthuli,1150.0,50.596
