municipality_code_2021,municipality_name_2021,registration_rate_2021_pct,turnout_2021,registration_rate_2026_pct,youth_registration_rate_2026_pct,youth_registration_gap_pp,voted_per_100,registered_not_voted_per_100,not_registered_per_100,main_gap,turnout_2026_forecast,voted_per_100_2026_projection
MP301,MP301 - Chief Albert Luthuli,60.665,43.754,59.032,44.128,21.642,26.543,34.122,39.335,Registration,50.141,29.6
MP302,MP302 - Msukaligwa,52.226,40.951,51.648,36.219,21.096,21.387,30.839,47.774,Registration,44.926,23.203
MP303,MP303 - Mkhondo,43.186,43.989,42.807,26.855,23.313,18.997,24.189,56.814,Registration,49.606,21.235
MP304,MP304 - Dr Pixley Ka Isaka Seme,49.058,45.235,51.368,40.784,14.584,22.191,26.866,50.942,Registration,50.483,25.932
MP305,MP305 - Lekwa,62.33,46.109,61.628,40.647,28.745,28.74,33.591,37.67,Registration,49.49,30.5
MP306,MP306 - Dipaleseng,86.594,46.009,83.648,55.99,37.105,39.841,46.753,13.406,Turnout,50.881,42.56
MP307,MP307 - Govan Mbeki,66.767,40.965,66.277,41.026,33.825,27.351,39.416,33.233,Turnout,45.765,30.331
MP311,MP311 - Victor Khanye,50.002,52.159,53.335,38.73,20.038,26.081,23.921,49.998,Registration,49.541,26.423
MP312,MP312 - Emalahleni,64.948,39.618,68.779,48.827,26.697,25.731,39.217,35.052,Turnout,40.868,28.109
MP313,MP313 - Steve Tshwete,65.05,44.527,66.037,42.968,30.458,28.965,36.085,34.95,Turnout,44.119,29.135
MP314,MP314 - Emakhazeni,78.591,47.784,74.808,55.732,25.513,37.554,41.037,21.409,Turnout,47.513,35.543
MP315,MP315 - Thembisile Hani,54.564,40.862,53.424,32.257,29.325,22.296,32.268,45.436,Registration,46.907,25.06
MP316,MP316 - Dr JS Moroka,60.419,43.12,57.311,36.202,29.078,26.052,34.366,39.581,Registration,49.403,28.313
MP321,MP321 - Thaba Chweu,73.204,43.582,73.795,57.803,21.347,31.904,41.3,26.796,Turnout,43.009,31.739
MP324,MP324 - Nkomazi,49.968,45.38,50.804,39.778,16.044,22.675,27.292,50.032,Registration,49.883,25.342
MP325,MP325 - Bushbuckridge,54.437,43.422,55.827,41.618,20.518,23.638,30.8,45.563,Registration,49.696,27.744
MP326,MP326 - City of Mbombela,60.509,41.27,61.332,45.352,22.005,24.972,35.537,39.491,Registration,40.917,25.095
