province_2021,municipality_code_2021,municipality_name_2021,election_year,ballot_type,registered_voters,votes_cast,valid_votes,spoilt_votes,voting_districts,share_vd_code_match,turnout_pct,spoilt_pct
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2000,DC40,72840,35632,34540,1092,63,1.0,48.91817682591982,3.064660978895375
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2000,PR,72840,35607,34520,1087,63,1.0,48.8838550247117,3.052770522650041
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2000,WARD,72840,35553,34022,1531,63,1.0,48.80971993410214,4.3062470115039515
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2006,DC40,80338,42761,41720,1041,78,0.9871794871794872,53.22636859269586,2.4344613082013984
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2006,PR,80338,43257,42274,983,78,0.9871794871794872,53.843760113520375,2.272464572207966
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2006,WARD,80338,43240,42353,887,78,0.9871794871794872,53.8225995170405,2.051341350601295
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2011,DC40,83153,48467,47452,1015,107,0.9906542056074766,58.286532055367815,2.09420843047847
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2011,PR,83153,48470,47686,784,107,0.9906542056074766,58.290139862662805,1.6174953579533733
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2011,WARD,83153,48469,47481,988,107,0.9906542056074766,58.28893726023114,2.0384163073304586
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2016,DC40,92592,54711,53772,939,124,1.0,59.088258164852256,1.7162910566430882
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2016,PR,92592,54748,53920,828,124,1.0,59.12821842059789,1.5123840140279097
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2016,WARD,92592,54867,54085,782,124,1.0,59.25673924313116,1.425264731076968
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2021,DC40,92803,40537,39654,883,126,1.0,43.68069997737142,2.178256901102696
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2021,PR,92803,40341,39553,788,126,1.0,43.46949990840813,1.9533477107657222
Mpumalanga,MP301,MP301 - Chief Albert Luthuli,2021,WARD,92803,40536,39760,776,126,1.0,43.679622425999156,1.9143477402802447
Mpumalanga,MP302,MP302 - Msukaligwa,2000,DC40,52183,24952,24289,663,32,1.0,47.816338654351036,2.6571016351394676
Mpumalanga,MP302,MP302 - Msukaligwa,2000,PR,52183,24940,24175,765,32,1.0,47.793342659486804,3.067361668003208
Mpumalanga,MP302,MP302 - Msukaligwa,2000,WARD,52183,25001,24182,819,32,1.0,47.910238966713294,3.2758689652413904
Mpumalanga,MP302,MP302 - Msukaligwa,2006,DC40,56649,27701,27034,667,46,1.0,48.89936274250208,2.4078553120825963
Mpumalanga,MP302,MP302 - Msukaligwa,2006,PR,56649,27697,27095,602,46,1.0,48.89230171759431,2.1735205978986896
Mpumalanga,MP302,MP302 - Msukaligwa,2006,WARD,56649,27677,27034,643,46,1.0,48.856996593055484,2.323228673627922
Mpumalanga,MP302,MP302 - Msukaligwa,2011,DC40,62384,35429,34858,571,56,0.9821428571428571,56.79180559117722,1.6116740523300122
Mpumalanga,MP302,MP302 - Msukaligwa,2011,PR,62384,35473,34940,533,56,0.9821428571428571,56.86233649653757,1.502551236151439
Mpumalanga,MP302,MP302 - Msukaligwa,2011,WARD,62384,35424,34750,674,56,0.9821428571428571,56.783790715568095,1.9026648599819331
Mpumalanga,MP302,MP302 - Msukaligwa,2016,DC40,71337,40959,40396,563,74,1.0,57.41620757811514,1.3745452769843014
Mpumalanga,MP302,MP302 - Msukaligwa,2016,PR,71337,40927,40387,540,74,1.0,57.371350070790754,1.319422386199819
Mpumalanga,MP302,MP302 - Msukaligwa,2016,WARD,71337,40813,40247,566,74,1.0,57.21154520094761,1.386813025261559
Mpumalanga,MP302,MP302 - Msukaligwa,2021,DC40,69662,27958,27029,929,76,1.0,40.13378886623985,3.32284140496459
Mpumalanga,MP302,MP302 - Msukaligwa,2021,PR,69662,28089,27166,923,76,1.0,40.32183974046109,3.285983837089252
Mpumalanga,MP302,MP302 - Msukaligwa,2021,WARD,69662,28060,27471,589,76,1.0,40.280210157618214,2.099073414112616
Mpumalanga,MP303,MP303 - Mkhondo,2000,DC40,48235,23498,22793,705,32,1.0,48.71566290038354,3.000255340880075
Mpumalanga,MP303,MP303 - Mkhondo,2000,PR,48235,23473,22797,676,32,1.0,48.6638333160568,2.8799045712094746
Mpumalanga,MP303,MP303 - Mkhondo,2000,WARD,48235,23507,22804,703,32,1.0,48.734321550741164,2.990598545114221
Mpumalanga,MP303,MP303 - Mkhondo,2006,DC40,57492,30342,29545,797,59,1.0,52.77603840534335,2.6267220354623952
Mpumalanga,MP303,MP303 - Mkhondo,2006,PR,57492,30311,29563,748,59,1.0,52.72211785987616,2.4677509814918674
Mpumalanga,MP303,MP303 - Mkhondo,2006,WARD,57492,30357,29721,636,59,1.0,52.80212899185974,2.0950686826761538
Mpumalanga,MP303,MP303 - Mkhondo,2011,DC40,63859,37893,36330,1563,69,1.0,59.3385427269453,4.124772385400997
Mpumalanga,MP303,MP303 - Mkhondo,2011,PR,63859,37929,37302,627,69,1.0,59.394916926353375,1.6530886656647947
Mpumalanga,MP303,MP303 - Mkhondo,2011,WARD,63859,37929,37202,727,69,1.0,59.394916926353375,1.9167391705555117
Mpumalanga,MP303,MP303 - Mkhondo,2016,DC40,71990,41286,40461,825,74,1.0,57.34963189331852,1.9982560674320593
Mpumalanga,MP303,MP303 - Mkhondo,2016,PR,71990,41219,40467,752,74,1.0,57.25656341158494,1.8244013683010263
Mpumalanga,MP303,MP303 - Mkhondo,2016,WARD,71990,41168,40419,749,74,1.0,57.18572023892207,1.8193742712786631
Mpumalanga,MP303,MP303 - Mkhondo,2021,DC40,70522,30802,29547,1255,76,1.0,43.67715039278523,4.074410752548536
Mpumalanga,MP303,MP303 - Mkhondo,2021,PR,70522,30796,29636,1160,76,1.0,43.66864240946088,3.7667229510326017
Mpumalanga,MP303,MP303 - Mkhondo,2021,WARD,70522,30394,29749,645,76,1.0,43.098607526729246,2.1221293676383497
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2000,DC40,32525,15902,15413,489,33,1.0,48.89162182936203,3.0750848949817633
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2000,PR,32525,15895,15302,593,33,1.0,48.87009992313605,3.730732934885184
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2000,WARD,32525,15932,15369,563,33,1.0,48.98385857033052,3.533768516193824
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2006,DC40,33947,17852,17191,661,36,1.0,52.587857542639995,3.702666367913959
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2006,PR,33947,17852,17245,607,36,1.0,52.587857542639995,3.400179251624468
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2006,WARD,33947,17852,17384,468,36,1.0,52.587857542639995,2.6215550078422587
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2011,DC40,34578,20936,20187,749,38,1.0,60.547168719995376,3.5775697363393197
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2011,PR,34578,21020,20331,689,38,1.0,60.79009775001446,3.2778306374881065
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2011,WARD,34578,21040,20445,595,38,1.0,60.8479379952571,2.8279467680608366
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2016,DC40,38501,22835,22325,510,42,1.0,59.310147788369136,2.2334136194438363
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2016,PR,38501,22824,22327,497,42,1.0,59.281577101893454,2.177532422011917
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2016,WARD,38501,22826,22338,488,42,1.0,59.286771772161764,2.1379129063348814
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2021,DC40,37767,17102,16644,458,42,1.0,45.28291895040644,2.678049350953105
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2021,PR,37767,17082,16645,437,42,1.0,45.229962665819365,2.5582484486594077
Mpumalanga,MP304,MP304 - Dr Pixley Ka Isaka Seme,2021,WARD,37767,16820,16448,372,42,1.0,44.536235337728705,2.211652794292509
Mpumalanga,MP305,MP305 - Lekwa,2000,DC40,42810,20557,19675,882,25,1.0,48.01915440317683,4.290509315561609
Mpumalanga,MP305,MP305 - Lekwa,2000,PR,42810,20533,19665,868,25,1.0,47.96309273534221,4.227341352944041
Mpumalanga,MP305,MP305 - Lekwa,2000,WARD,42810,19648,18936,712,25,1.0,45.895818733940665,3.6237785016286646
Mpumalanga,MP305,MP305 - Lekwa,2006,DC40,46336,22357,21750,607,32,1.0,48.24974102209945,2.715033322896632
Mpumalanga,MP305,MP305 - Lekwa,2006,PR,46336,22511,21948,563,32,1.0,48.58209599447514,2.5009995113500065
Mpumalanga,MP305,MP305 - Lekwa,2006,WARD,46336,22470,21955,515,32,1.0,48.49361187845304,2.2919448153093014
Mpumalanga,MP305,MP305 - Lekwa,2011,DC40,49204,29402,28869,533,41,1.0,59.75530444679294,1.812801850214271
Mpumalanga,MP305,MP305 - Lekwa,2011,PR,49204,29443,28887,556,41,1.0,59.8386310056093,1.8883945250144347
Mpumalanga,MP305,MP305 - Lekwa,2011,WARD,49204,29440,28798,642,41,1.0,59.83253394033005,2.1807065217391304
Mpumalanga,MP305,MP305 - Lekwa,2016,DC40,53249,30340,29486,854,42,1.0,56.977595823395745,2.8147659854976927
Mpumalanga,MP305,MP305 - Lekwa,2016,PR,53249,30580,29838,742,42,1.0,57.42830851283592,2.4264224983649445
Mpumalanga,MP305,MP305 - Lekwa,2016,WARD,53249,30565,29889,676,42,1.0,57.40013896974591,2.211680026173728
Mpumalanga,MP305,MP305 - Lekwa,2021,DC40,51116,23311,22593,718,43,1.0,45.60411612802254,3.0800909441894384
Mpumalanga,MP305,MP305 - Lekwa,2021,PR,51116,23467,23007,460,43,1.0,45.90930432741216,1.9601994289853837
Mpumalanga,MP305,MP305 - Lekwa,2021,WARD,51116,23387,22929,458,43,1.0,45.75279755849441,1.958352931115577
Mpumalanga,MP306,MP306 - Dipaleseng,2000,DC40,17547,8878,8597,281,15,0.9333333333333333,50.59554339773181,3.1651272809191258
Mpumalanga,MP306,MP306 - Dipaleseng,2000,PR,17547,8890,8625,265,15,0.9333333333333333,50.66393115632302,2.980877390326209
Mpumalanga,MP306,MP306 - Dipaleseng,2000,WARD,17547,8871,8626,245,15,0.9333333333333333,50.5556505385536,2.761808138879495
Mpumalanga,MP306,MP306 - Dipaleseng,2006,DC40,18892,9996,9682,314,18,1.0,52.91128520008469,3.1412565026010406
Mpumalanga,MP306,MP306 - Dipaleseng,2006,PR,18892,9998,9668,330,18,1.0,52.921871691721364,3.300660132026405
Mpumalanga,MP306,MP306 - Dipaleseng,2006,WARD,18892,9983,9673,310,18,1.0,52.842473004446326,3.1052789742562354
Mpumalanga,MP306,MP306 - Dipaleseng,2011,DC40,19547,11725,10273,1452,24,1.0,59.98362920141198,12.383795309168443
Mpumalanga,MP306,MP306 - Dipaleseng,2011,PR,19547,11888,11079,809,24,1.0,60.817516754489176,6.805181695827725
Mpumalanga,MP306,MP306 - Dipaleseng,2011,WARD,19547,12054,11549,505,24,1.0,61.66675193124264,4.189480670316907
Mpumalanga,MP306,MP306 - Dipaleseng,2016,DC40,21413,12803,12444,359,29,1.0,59.79078130107878,2.8040303053971725
Mpumalanga,MP306,MP306 - Dipaleseng,2016,PR,21413,12811,12504,307,29,1.0,59.828141783029004,2.3963781125595194
Mpumalanga,MP306,MP306 - Dipaleseng,2016,WARD,21413,12849,12577,272,29,1.0,60.005604072292535,2.116896256518017
Mpumalanga,MP306,MP306 - Dipaleseng,2021,DC40,20948,9552,9260,292,30,1.0,45.59862516708039,3.056951423785595
Mpumalanga,MP306,MP306 - Dipaleseng,2021,PR,20948,9591,9330,261,30,1.0,45.78480045827764,2.7213012198936504
Mpumalanga,MP306,MP306 - Dipaleseng,2021,WARD,20948,9627,9391,236,30,1.0,45.956654573228946,2.4514386620961877
Mpumalanga,MP307,MP307 - Govan Mbeki,2000,DC40,111470,46997,45320,1677,58,0.9482758620689655,42.16111958374451,3.5683128710343213
Mpumalanga,MP307,MP307 - Govan Mbeki,2000,PR,111470,46908,45673,1235,58,0.9482758620689655,42.081277473759755,2.6328131661976637
Mpumalanga,MP307,MP307 - Govan Mbeki,2000,WARD,111470,46959,45472,1487,58,0.9482758620689655,42.127029694088094,3.1665921335633214
Mpumalanga,MP307,MP307 - Govan Mbeki,2006,DC40,120834,49649,48255,1394,78,0.9743589743589743,41.08860089047784,2.807710125078048
Mpumalanga,MP307,MP307 - Govan Mbeki,2006,PR,120834,49846,48685,1161,78,0.9743589743589743,41.251634473740836,2.3291738554748624
Mpumalanga,MP307,MP307 - Govan Mbeki,2006,WARD,120834,49870,48717,1153,78,0.9743589743589743,41.271496433123126,2.3120112291959094
Mpumalanga,MP307,MP307 - Govan Mbeki,2011,DC40,131576,71577,70544,1033,88,0.9772727272727273,54.39973855414361,1.443201028263269
Mpumalanga,MP307,MP307 - Govan Mbeki,2011,PR,131576,71511,70461,1050,88,0.9772727272727273,54.349577430534445,1.4683055753660277
Mpumalanga,MP307,MP307 - Govan Mbeki,2011,WARD,131576,71903,70733,1170,88,0.9772727272727273,54.64750410409193,1.6271921894774906
Mpumalanga,MP307,MP307 - Govan Mbeki,2016,DC40,145295,76589,75237,1352,92,0.9891304347826086,52.71275680512062,1.7652665526381073
