year,municipality_code_2021,reg,votes,npe_turnout_pct
2004,MP301,78379,63014,80.397
2004,MP302,57159,45802,80.131
2004,MP303,54546,41288,75.694
2004,MP304,34008,26277,77.267
2004,MP305,46125,36292,78.682
2004,MP306,18778,14466,77.037
2004,MP307,121005,92491,76.436
2004,MP311,25051,19157,76.472
2004,MP312,148186,112342,75.811
2004,MP313,85305,65065,76.273
2004,MP314,22685,17923,79.008
2004,MP315,115824,90570,78.196
2004,MP316,110277,82879,75.155
2004,MP321,40607,30027,73.945
2004,MP324,121241,101167,83.443
2004,MP326,245027,201762,82.343
2009,MP301,81994,64224,78.328
2009,MP302,62361,51491,82.569
2009,MP303,62921,48241,76.669
2009,MP304,34221,25853,75.547
2009,MP305,49080,39176,79.821
2009,MP306,19317,14942,77.352
2009,MP307,132881,103915,78.202
2009,MP311,28353,22349,78.824
2009,MP312,167288,130258,77.865
2009,MP313,96548,75801,78.511
2009,MP314,24367,19137,78.537
2009,MP315,134348,102341,76.176
2009,MP316,117328,79712,67.939
2009,MP321,44639,33393,74.807
2009,MP324,142860,115797,81.056
2009,MP325,216782,155154,71.571
2009,MP326,279088,233231,83.569
2014,MP301,89555,66799,74.59
2014,MP302,66856,52104,77.935
2014,MP303,69135,51243,74.12
2014,MP304,37049,27140,73.254
2014,MP305,52529,39477,75.153
2014,MP306,20917,15314,73.213
2014,MP307,141828,104872,73.943
2014,MP311,32028,24143,75.381
2014,MP312,185006,138640,74.938
2014,MP313,107877,81189,75.261
2014,MP314,26529,19717,74.322
2014,MP315,150477,106330,70.662
2014,MP316,125671,81003,64.456
2014,MP321,49943,34536,69.151
2014,MP324,159530,122052,76.507
2014,MP325,236650,149810,63.304
2014,MP326,306475,238315,77.76
2024,MP301,98284,57537,58.542
2024,MP302,73279,44722,61.03
2024,MP303,75890,45446,59.884
2024,MP304,40060,24223,60.467
2024,MP305,53036,31341,59.094
2024,MP306,21965,12850,58.502
2024,MP307,148113,87137,58.831
2024,MP311,36844,21115,57.309
2024,MP312,203797,117674,57.741
2024,MP313,115837,66963,57.808
2024,MP314,27165,15921,58.609
2024,MP315,161051,90680,56.305
2024,MP316,128129,65257,50.931
2024,MP321,53599,27561,51.421
2024,MP324,183039,109941,60.064
2024,MP325,265840,137296,51.646
2024,MP326,339142,200147,59.016
