voting_district,registered,valid,spoilt,npe_vd_turnout_pct,year
54100011,1854,1385,23,75.944,2004
54100022,1741,1158,12,67.203,2004
54100033,1773,1416,17,80.823,2004
54110012,1762,1496,32,86.72,2004
54110023,2392,1800,26,76.338,2004
54120013,112,66,0,58.929,2004
54120024,460,360,4,79.13,2004
54120035,281,242,8,88.968,2004
54120046,2022,1640,39,83.037,2004
54120057,256,200,2,78.906,2004
54120068,499,448,16,92.986,2004
54120080,855,859,23,103.158,2004
54120091,530,405,0,76.415,2004
54120103,1691,1400,1,82.85,2004
54120114,783,661,8,85.441,2004
54120125,2848,1950,29,69.487,2004
54120136,527,701,15,135.863,2004
54120147,253,173,7,71.146,2004
54120181,263,255,2,97.719,2004
54130014,2650,1748,110,70.113,2004
54130025,3372,2432,72,74.259,2004
54130036,2320,1909,33,83.707,2004
54130047,2970,2352,52,80.943,2004
54140015,3832,2923,64,77.949,2004
54140026,1008,693,9,69.643,2004
54140037,529,570,13,110.208,2004
54140048,2808,2396,51,87.144,2004
54140059,1859,1611,15,87.466,2004
54140060,2371,1920,37,82.539,2004
54140071,2021,1593,44,81.0,2004
54140082,1458,1360,36,95.748,2004
54140093,1994,1152,29,59.228,2004
54140105,2096,1957,11,93.893,2004
54140116,1298,1004,0,77.35,2004
54140127,2048,1988,106,102.246,2004
54140138,1554,1248,26,81.982,2004
54140149,901,981,12,110.211,2004
54150016,1764,1455,33,84.354,2004
54150027,2397,1485,24,62.954,2004
54160017,3552,3072,44,87.725,2004
54160028,3941,2770,16,70.693,2004
54170018,1545,1136,21,74.887,2004
54180019,2375,1951,33,83.537,2004
54190010,3366,2356,35,71.034,2004
54190021,2683,1366,30,52.031,2004
54190032,3306,2325,53,71.93,2004
54190043,2518,2020,26,81.255,2004
54190054,2716,2068,37,77.504,2004
54190065,1436,1266,29,90.181,2004
54190076,2932,1934,54,67.804,2004
54190087,1367,1130,11,83.467,2004
54190098,625,579,15,95.04,2004
54200012,849,660,15,79.505,2004
54200023,403,315,1,78.412,2004
54200034,2260,1686,28,75.841,2004
54200045,662,546,0,82.477,2004
54200056,74,51,1,70.27,2004
54210013,1711,1548,5,90.766,2004
54210024,1403,1064,28,77.833,2004
54210035,1755,1485,22,85.869,2004
54210046,2012,1574,57,81.064,2004
54210057,1407,1053,17,76.048,2004
54210068,754,595,6,79.708,2004
54210079,2734,2225,13,81.858,2004
54210080,2166,2111,23,98.523,2004
54210091,1903,1579,5,83.237,2004
54210103,3702,2575,4,69.665,2004
54210114,2458,2001,40,83.035,2004
54210125,415,342,15,86.024,2004
54210169,427,328,5,77.986,2004
54210170,768,677,21,90.885,2004
54210181,312,317,7,103.846,2004
54220014,2509,1733,58,71.383,2004
54220025,2180,1519,2,69.771,2004
54220036,1022,793,6,78.18,2004
54220047,1303,1002,17,78.204,2004
54220058,1165,845,32,75.279,2004
54220069,2381,1626,30,69.551,2004
54220070,724,455,10,64.227,2004
54220081,1031,939,22,93.21,2004
54220092,2490,1831,2,73.614,2004
54220104,1268,1097,17,87.855,2004
54220115,1579,1200,26,77.644,2004
54220126,2057,1641,4,79.971,2004
54220137,1101,892,11,82.016,2004
54220148,1832,1360,27,75.71,2004
54220159,1299,929,0,71.517,2004
54220160,713,635,15,91.164,2004
54220171,538,500,18,96.283,2004
54220182,327,251,3,77.676,2004
54220205,453,382,4,85.21,2004
54220216,637,599,12,95.918,2004
54220227,361,301,10,86.15,2004
54220238,394,367,8,95.178,2004
54220249,1070,970,20,92.523,2004
54230015,3158,2292,38,73.781,2004
54230026,3493,2711,44,78.872,2004
54230037,2202,1624,7,74.069,2004
54230048,1916,1634,47,87.735,2004
54230059,2109,1698,22,81.555,2004
54230060,3214,2711,50,85.905,2004
54230071,2221,1923,0,86.583,2004
54230082,3209,2562,38,81.022,2004
54230093,2929,1339,1,45.749,2004
54230105,3191,2377,34,75.556,2004
54230116,1945,1643,39,86.478,2004
54230127,1002,978,8,98.403,2004
54230138,517,1028,8,200.387,2004
54240016,3042,2391,43,80.013,2004
54250017,1385,1089,27,80.578,2004
54260018,3307,2431,28,74.357,2004
54260029,3509,2217,32,64.092,2004
54260041,4586,2881,17,63.192,2004
54260052,2524,1998,19,79.913,2004
54260063,2020,1327,9,66.139,2004
54260074,2368,1463,122,66.934,2004
54260085,3785,2729,35,73.025,2004
54260096,2623,1939,26,74.914,2004
54260108,2692,2520,32,94.799,2004
54260119,2422,2209,40,92.857,2004
54260120,2599,1609,0,61.908,2004
54260131,3576,2619,55,74.776,2004
54260142,2992,2068,37,70.354,2004
54260153,3199,1750,28,55.58,2004
54260175,1746,1510,32,88.316,2004
54260186,4055,2864,41,71.64,2004
54260197,3205,2325,60,74.415,2004
54260209,1071,978,16,92.81,2004
54260210,3815,1832,27,48.729,2004
54260221,3219,2020,53,64.399,2004
54260232,2703,1773,0,65.594,2004
54260243,842,747,22,91.33,2004
54260254,3415,2281,42,68.023,2004
54260265,3179,2152,33,68.732,2004
54260276,2323,1336,54,59.836,2004
54260287,2064,1872,22,91.764,2004
54260298,764,1496,26,199.215,2004
54270019,4233,2731,22,65.037,2004
54270020,2158,1656,14,77.386,2004
54270031,3574,2972,53,84.639,2004
54280010,2200,2538,34,116.909,2004
54280021,2261,1878,29,84.343,2004
54280032,2724,2010,26,74.743,2004
54280043,4815,2755,30,57.84,2004
54280065,1528,1410,30,94.241,2004
54290011,3432,2687,11,78.613,2004
54300013,3141,2232,44,72.461,2004
54310014,2201,1692,21,77.828,2004
54320015,4079,2784,40,69.233,2004
54320026,2231,1478,20,67.145,2004
54320037,2626,1836,33,71.173,2004
54320048,2903,2262,48,79.573,2004
54320059,2655,1915,45,73.823,2004
54320060,5781,4078,62,71.614,2004
54330016,2847,1836,18,65.121,2004
54330027,2704,1902,45,72.004,2004
54330038,2499,2484,47,101.281,2004
54330049,1540,1370,30,90.909,2004
54330050,2511,2172,65,89.088,2004
54330061,2956,2058,45,71.143,2004
