municipality_code_2021,turnout_2021,turnout_change_2016_2021_pp,registration_rate_2026_pct,youth_registration_gap_pp,youth_share_of_roll_2026_pct,audit_score_avg_last3,c22_adult_hunger_pct,c22_urban_pct,c22_piped_water_in_yard_pct,npe_turnout_2024,profile,municipality_name_2021
MP301,43.754,-15.818,59.032,21.642,23.272,2.0,18.481,19.818,83.727,58.542,Profile 1: low urban / low registration,MP301 - Chief Albert Luthuli
MP302,40.951,-16.658,51.648,21.096,18.839,2.0,16.157,86.3,84.834,61.03,Profile 1: low urban / low registration,MP302 - Msukaligwa
MP303,43.989,-13.361,42.807,23.313,19.808,3.0,30.404,51.855,76.527,59.884,Profile 1: low urban / low registration,MP303 - Mkhondo
MP304,45.235,-14.103,51.368,14.584,21.774,3.0,16.793,73.982,92.443,60.467,Profile 1: low urban / low registration,MP304 - Dr Pixley Ka Isaka Seme
MP305,46.109,-11.383,61.628,28.745,17.815,1.333,10.824,91.522,94.068,59.094,Profile 2: high urban / high registration,MP305 - Lekwa
MP306,46.009,-14.038,83.648,37.105,17.042,2.0,13.13,95.088,91.648,58.502,Profile 2: high urban / high registration,MP306 - Dipaleseng
MP307,40.965,-12.923,66.277,33.825,15.69,2.0,13.745,96.495,93.961,58.831,Profile 2: high urban / high registration,MP307 - Govan Mbeki
MP311,52.159,-3.262,53.335,20.038,19.687,2.0,18.443,85.916,90.643,57.309,Profile 2: high urban / high registration,MP311 - Victor Khanye
MP312,39.618,-12.187,68.779,26.697,17.936,2.333,21.644,96.85,81.997,57.741,Profile 2: high urban / high registration,MP312 - Emalahleni
MP313,44.527,-8.482,66.037,30.458,15.787,2.333,14.995,91.736,88.218,57.808,Profile 2: high urban / high registration,MP313 - Steve Tshwete
MP314,47.784,-8.905,74.808,25.513,18.795,1.333,13.449,91.604,95.113,58.609,Profile 2: high urban / high registration,MP314 - Emakhazeni
MP315,40.862,-14.369,53.424,29.325,16.796,3.0,22.213,31.162,81.87,56.305,Profile 1: low urban / low registration,MP315 - Thembisile Hani
MP316,43.12,-11.911,57.311,29.078,17.31,2.0,20.925,3.086,67.498,50.931,Profile 1: low urban / low registration,MP316 - Dr JS Moroka
MP321,43.582,-10.268,73.795,21.347,19.649,2.5,18.244,82.338,84.939,51.421,Profile 2: high urban / high registration,MP321 - Thaba Chweu
MP324,45.38,-15.741,50.804,16.044,24.493,3.0,17.053,10.758,70.599,60.064,Profile 1: low urban / low registration,MP324 - Nkomazi
MP325,43.422,-10.453,55.827,20.518,22.921,3.0,15.698,4.21,72.253,51.646,Profile 1: low urban / low registration,MP325 - Bushbuckridge
MP326,41.27,-19.169,61.332,22.005,20.246,3.0,14.404,26.643,66.677,59.016,Profile 1: low urban / low registration,MP326 - City of Mbombela
