municipality_code_2021,official_registered,official_mec7,official_turnout_votes,official_turnout_pct,registered,turnout_votes,turnout_pct,election_year,registered_diff,turnout_votes_diff,turnout_pct_with_mec7,pct_diff_pp
MP301,83153,220,48470,58.14,83153,48470,58.290139862662805,2011,0,0,58.13632710829645,-0.003672891703551784
MP302,62384,115,35554,56.89,62384,35554,56.99217748140549,2011,0,0,56.88731019696315,-0.0026898030368514014
MP303,63859,75,37950,59.36,63859,37950,59.42780187600808,2011,0,0,59.35808802827916,-0.0019119717208369025
MP304,34578,47,21089,60.91,34578,21089,60.989646596101565,2011,0,0,60.90685920577617,-0.003140794223824628
MP305,49204,170,29488,59.72,49204,29488,59.93008698479798,2011,0,0,59.72374124032892,0.0037412403289209806
MP306,19547,87,12076,61.51,19547,12076,61.77930117153527,2011,0,0,61.505551594173376,-0.004448405826622093
MP307,131576,283,72201,54.76,131576,72201,54.87398917735757,2011,0,0,54.75621686801811,-0.0037831319818906195
MP311,28664,22,16276,56.74,28664,16276,56.782026234998604,2011,0,0,56.73847870041135,-0.0015212995886528802
MP312,167689,148,90008,53.63,167689,90008,53.67555415083876,2011,0,0,53.62822262075704,-0.0017773792429593982
MP313,98060,357,54063,54.93,98060,54063,55.132571894758314,2011,0,0,54.932582785494375,0.002582785494375628
MP314,24500,12,14697,59.96,24500,14697,59.987755102040815,2011,0,0,59.95838772845953,-0.0016122715404733867
MP315,138008,134,77071,55.79,138008,77071,55.84531331517014,2011,0,0,55.791142447626356,0.0011424476263570682
MP316,118114,293,62771,53.01,118114,62771,53.144419797822444,2011,0,0,53.01291308790866,0.0029130879086594064
MP321,45624,11,24454,53.59,45624,24454,53.59898299140803,2011,0,0,53.58606332858552,-0.00393667141448617
MP322,254137,664,146217,57.38,254137,146217,57.53471552745173,2011,0,0,57.38478263429107,0.004782634291068177
MP323,29064,14,16724,57.51,29064,16724,57.541976328103495,2011,0,0,57.514271958181446,0.004271958181448099
MP324,146958,135,85129,57.87,146958,85129,57.92743504946991,2011,0,0,57.87427001964743,0.004270019647435674
MP325,223190,609,116510,52.06,223190,116510,52.20215959496393,2011,0,0,52.060107507182785,0.00010750718278274007
MP301,92592,279,55159,59.39,92592,55159,59.572101261448076,2016,0,0,59.393136716520765,0.0031367165207640824
