municipality_code,eligible_18plus_2021,eligible_18_29_2021,eligible_30plus_2021,eligible_18plus_2026,eligible_18_29_2026,eligible_30plus_2026,registered_2021,registered_2026,registered_2026_18_29,registration_rate_2021_pct,registration_rate_2026_pct,youth_registration_rate_2026_pct,older_registration_rate_2026_pct,youth_registration_gap_pp,youth_share_of_roll_2026_pct,roll_growth_2021_2026_pct
MP301,152975.533,52599.413,100376.12,176536.909,54960.413,121576.496,92803,104214,24253,60.665,59.032,44.128,65.77,21.642,23.272,12.296
MP302,133384.54,44830.564,88553.976,149086.733,40051.103,109035.631,69662,77000,14506,52.226,51.648,36.219,57.315,21.096,18.839,10.534
MP303,163298.642,59850.328,103448.314,186965.294,59032.872,127932.423,70522,80034,15853,43.186,42.807,26.855,50.168,23.313,19.808,13.488
MP304,76984.82,24388.102,52596.718,86713.033,23781.264,62931.769,37767,44543,9699,49.058,51.368,40.784,55.368,14.584,21.774,17.942
MP305,82008.072,24743.854,57264.218,92009.424,24852.699,67156.725,51116,56704,10102,62.33,61.628,40.647,69.393,28.745,17.815,10.932
MP306,24191.07,6650.614,17540.455,27351.582,6963.756,20387.825,20948,22879,3899,86.594,83.648,55.99,93.095,37.105,17.042,9.218
MP307,211270.438,66881.551,144388.887,233936.218,59296.741,174639.477,141058,155046,24327,66.767,66.277,41.026,74.851,33.825,15.69,9.916
MP311,69093.309,23090.551,46002.758,76950.929,20862.294,56088.634,34548,41042,8080,50.002,53.335,38.73,58.768,20.038,19.687,18.797
MP312,287558.678,89460.736,198097.942,319246.52,80657.873,238588.647,186763,219576,39383,64.948,68.779,48.827,75.525,26.697,17.936,17.569
MP313,166793.395,49825.962,116967.433,185051.949,44898.255,140153.694,108499,122202,19292,65.05,66.037,42.968,73.427,30.458,15.787,12.63
MP314,33701.154,10331.325,23369.829,37153.861,9373.461,27780.401,26486,27794,5224,78.591,74.808,55.732,81.244,25.513,18.795,4.938
MP315,277619.194,84593.213,193025.981,316231.853,87969.864,228261.989,151479,168944,28376,54.564,53.424,32.257,61.582,29.325,16.796,11.53
MP316,204197.0,58439.003,145757.997,233307.837,63933.708,169374.129,123373,133712,23145,60.419,57.311,36.202,65.28,29.078,17.31,8.38
MP321,69612.071,20405.108,49206.963,78036.581,19575.103,58461.479,50959,57587,11315,73.204,73.795,57.803,79.15,21.347,19.649,13.007
MP324,345789.11,124557.118,221231.992,398598.252,124689.269,273908.983,172783,202502,49599,49.968,50.804,39.778,55.823,16.044,24.493,17.2
MP325,450678.466,149958.286,300720.179,525233.475,161491.393,363742.082,245338,293222,67209,54.437,55.827,41.618,62.136,20.518,22.921,19.518
MP326,525731.876,169711.31,356020.566,591367.991,161918.003,429449.988,318116,362699,73433,60.509,61.332,45.352,67.357,22.005,20.246,14.015
