municipality_code_2021,turnout_median,turnout_p10,turnout_p90,p_below_own_2021,p_below_record_low,registered_2026,non_voters_median,districts_below_25_expected,municipality_name_2021,turnout_2021,rank_lowest_share
MP301,40.6322,33.7278,47.585,0.7126,0.6558,104214.0,61869.5129,7.4175,MP301 - Chief Albert Luthuli,43.754,0.0158
MP302,38.4577,31.4498,45.4459,0.6765,0.7878,77000.0,47387.6036,6.314,MP302 - Msukaligwa,40.9506,0.1526
MP303,40.5199,33.5435,47.713,0.7342,0.6626,80034.0,47604.334,3.7582,MP303 - Mkhondo,43.9891,0.0194
MP304,40.9057,33.7111,47.9166,0.7846,0.6359,44543.0,26322.3582,2.5007,MP304 - Dr Pixley Ka Isaka Seme,45.2353,0.0169
MP305,41.187,34.1154,48.4032,0.8049,0.6166,56704.0,33349.3389,2.3705,MP305 - Lekwa,46.1089,0.0096
MP306,42.0728,34.7878,49.4946,0.7581,0.5558,22879.0,13253.1667,1.5258,MP306 - Dipaleseng,46.0092,0.0079
MP307,38.422,31.4827,45.4891,0.6792,0.791,155046.0,95474.15,8.541,MP307 - Govan Mbeki,40.9647,0.1448
MP311,43.007,35.8656,50.1419,0.9484,0.4868,41042.0,23391.0619,0.8269,MP311 - Victor Khanye,52.1593,0.0016
MP312,37.4609,30.4846,44.3938,0.6586,0.8431,219576.0,137320.9455,11.1481,MP312 - Emalahleni,39.6181,0.2801
MP313,39.8294,32.8602,46.9228,0.8018,0.707,122202.0,73529.6501,6.0082,MP313 - Steve Tshwete,44.5267,0.0372
MP314,43.1377,35.9574,50.339,0.7988,0.4757,27794.0,15804.3031,3.0156,MP314 - Emakhazeni,47.7837,0.0018
MP315,38.3738,31.3418,45.453,0.6734,0.7943,168944.0,104113.8105,9.674,MP315 - Thembisile Hani,40.8624,0.146
MP316,39.7471,32.8246,46.8707,0.7303,0.7139,133712.0,80565.4204,6.6901,MP316 - Dr JS Moroka,43.1196,0.0407
MP321,39.3586,32.3867,46.3696,0.7836,0.7406,57587.0,34921.5423,6.6005,MP321 - Thaba Chweu,43.5821,0.0705
MP324,41.7662,34.7201,48.9236,0.7437,0.5753,202502.0,117924.5406,7.2493,MP324 - Nkomazi,45.38,0.001
MP325,40.1052,33.0708,47.2207,0.7302,0.6968,293222.0,175624.7324,14.131,MP325 - Bushbuckridge,43.4217,0.0251
MP326,39.9789,33.0388,47.0605,0.5943,0.6999,362699.0,217695.7939,18.7213,MP326 - City of Mbombela,41.2702,0.029
