province_turnout,ballots,districts_below_25
32.514,705463.472,295
36.613,794395.263,134
45.17,980050.521,28
47.263,1025456.871,21
41.723,905256.387,56
39.205,850628.595,91
31.935,692900.225,376
45.351,983979.616,22
39.964,867095.913,73
44.783,971649.009,27
47.601,1032800.754,23
46.451,1007843.763,31
36.112,783530.885,150
37.896,822220.536,109
40.36,875698.429,77
40.18,871794.226,71
40.092,869871.642,75
37.457,812695.288,120
36.798,798411.593,127
42.428,920551.72,44
39.47,856371.715,103
44.413,963630.774,35
40.208,872390.061,62
34.777,754563.127,201
45.888,995641.424,31
39.132,849036.945,101
41.153,892906.09,53
33.278,722023.542,257
41.38,897826.975,65
41.075,891212.351,64
51.061,1107861.211,10
45.832,994413.437,23
42.785,928305.688,47
35.541,771136.717,169
39.597,859135.735,81
43.974,954105.631,44
38.669,839000.419,91
41.943,910034.069,49
40.009,868076.425,81
44.502,965553.722,36
41.228,894517.403,65
45.324,983398.252,26
32.609,707524.51,320
51.889,1125841.419,7
41.222,894399.078,61
43.585,945653.327,36
38.925,844559.539,95
45.409,985238.742,23
36.284,787252.666,174
41.284,895733.234,70
42.399,919934.379,54
36.744,797227.12,150
42.156,914650.391,53
39.935,866475.944,88
49.635,1076933.193,12
37.579,815351.621,129
43.99,954451.542,33
39.237,851334.183,93
40.218,872600.162,95
47.64,1033637.25,17
31.499,683435.77,346
31.37,680638.068,357
35.776,776223.228,173
36.171,784802.479,152
42.068,912753.755,45
31.585,685299.61,332
33.751,732302.691,239
41.759,906049.406,61
38.219,829240.426,104
40.324,874904.67,78
30.561,663072.624,408
40.906,887538.367,62
47.858,1038364.95,18
42.992,932806.867,56
38.131,827337.888,106
33.395,724566.637,227
35.344,766862.688,195
35.242,764635.814,176
40.527,879311.452,75
45.452,986172.499,30
39.515,857366.156,87
38.513,835625.988,101
40.938,888227.772,80
41.575,902045.45,57
44.51,965738.428,34
49.656,1077375.562,8
41.189,893685.253,55
46.12,1000659.44,24
39.357,853924.239,89
40.971,888946.617,64
40.78,884796.784,61
34.844,756006.408,203
32.322,701285.58,310
33.804,733449.256,230
34.654,751878.249,191
46.701,1013271.329,28
42.761,927791.152,31
31.154,675939.867,386
39.556,858253.908,86
41.047,890593.029,59
41.015,889911.158,60
50.068,1086323.284,13
42.078,912970.001,55
38.275,830453.995,92
44.795,971914.223,43
40.147,871075.216,70
41.313,896376.518,44
45.311,983122.004,31
52.316,1135104.269,11
39.002,846220.476,88
48.017,1041829.868,23
34.001,737726.267,237
40.312,874651.207,82
40.171,871590.061,75
42.515,922445.49,51
47.088,1021666.985,24
44.208,959184.648,34
39.896,865630.95,85
45.239,981544.042,28
34.014,737998.45,221
40.236,873009.852,72
40.222,872696.23,64
41.521,900882.391,68
44.071,956215.762,38
46.825,1015972.427,20
44.846,973026.733,31
30.012,651160.424,474
46.501,1008931.512,24
42.04,912131.677,60
44.218,959408.631,33
30.307,657568.609,425
32.577,706827.208,263
38.734,840414.244,81
43.8,950335.299,32
41.121,892198.109,74
36.795,798351.907,131
31.772,689359.533,343
44.881,973792.75,42
40.55,879819.947,73
34.523,749048.309,213
49.599,1076147.346,14
43.54,944693.214,52
40.967,888867.473,67
40.252,873348.892,67
42.765,927869.765,55
37.999,824468.826,123
38.062,825827.238,105
38.988,845926.453,89
40.133,870768.814,77
40.204,872300.202,82
42.065,912685.949,54
39.105,848452.659,75
34.854,756236.818,198
35.04,760253.116,191
33.866,734783.171,237
39.248,851566.797,99
38.082,826269.845,108
35.926,779478.738,162
35.027,759989.755,174
45.777,993213.245,37
47.152,1023063.201,30
39.447,855880.431,86
42.577,923803.794,43
36.885,800294.399,124
34.695,752782.342,239
43.116,935497.383,38
37.659,817097.322,129
41.223,894407.576,66
40.873,886824.492,60
47.576,1032253.756,16
38.865,843258.821,86
41.877,908595.711,63
39.553,858176.934,80
35.885,778595.105,140
46.255,1003593.059,29
48.361,1049298.374,16
34.621,751172.53,226
41.912,909374.19,54
43.189,937077.251,40
40.226,872775.676,72
51.374,1114664.867,13
39.212,850785.452,106
46.468,1008217.076,22
34.615,751035.566,216
39.519,857434.251,88
39.917,866086.421,92
45.649,990453.306,29
41.287,895811.022,63
43.303,939555.71,39
38.708,839838.862,104
45.795,993623.726,31
43.103,935197.081,47
34.66,752022.129,203
33.159,719455.201,258
28.28,613595.607,576
39.075,847818.839,122
32.205,698762.15,316
35.297,765832.284,170
43.083,934773.144,41
39.214,850823.265,90
38.06,825776.975,110
39.085,848020.342,93
43.146,936134.786,46
34.743,753817.379,220
36.857,799688.184,137
41.358,897354.908,73
39.189,850293.781,88
37.443,812404.778,112
46.582,1010691.409,24
44.257,960241.203,41
41.467,899716.747,61
33.868,734831.932,248
41.597,902538.09,59
39.018,846570.794,95
30.769,667595.906,405
40.338,875204.137,86
36.496,791854.681,149
42.019,911693.855,54
41.162,893088.756,54
42.01,911482.689,48
46.015,998397.951,24
36.51,792152.859,145
36.174,784875.99,161
40.704,883153.783,56
35.879,778470.126,148
44.967,975643.425,38
36.168,784726.973,164
37.672,817377.703,114
33.827,733950.267,226
36.716,796619.505,131
30.269,656755.849,460
33.229,720976.366,278
39.302,852738.425,90
53.681,1164708.432,13
47.606,1032916.194,18
41.851,908033.074,52
37.151,806067.004,144
39.078,847886.116,99
36.766,797718.814,149
38.347,832023.436,109
40.526,879300.561,70
34.892,757043.61,231
32.115,696792.101,309
43.108,935318.634,39
46.176,1001877.283,29
45.075,977986.566,32
35.231,764402.987,171
42.745,927440.673,40
35.53,770885.853,180
36.716,796620.187,138
33.393,724538.765,253
40.737,883875.582,71
35.894,778781.966,155
41.74,905631.608,53
36.838,799271.251,119
46.208,1002585.356,32
41.72,905194.512,50
38.536,836119.605,94
41.754,905942.712,59
39.76,862678.875,73
36.624,794622.797,116
48.729,1057269.935,17
49.472,1073385.795,14
35.551,771359.48,163
43.654,947161.109,40
39.201,850543.041,94
38.804,841934.997,91
35.722,775053.796,182
42.132,914146.542,55
35.301,765925.432,173
45.163,979902.755,33
46.991,1019563.07,33
45.804,993806.011,29
39.909,865913.217,77
41.16,893040.678,51
41.579,902143.305,66
41.588,902341.541,69
42.8,928635.557,40
42.616,924643.332,49
32.204,698720.149,309
38.963,845384.019,77
43.185,936990.052,37
35.565,771655.625,167
40.716,883414.209,71
29.743,645338.663,465
40.352,875519.989,73
36.121,783709.948,163
47.319,1026670.374,23
44.122,957306.237,39
32.789,711424.886,290
46.218,1002799.174,24
32.08,696041.935,335
35.235,764493.904,181
45.608,989558.707,43
39.619,859615.946,79
48.721,1057093.314,15
41.503,900490.466,58
38.718,840072.735,93
27.33,592971.971,655
41.244,894866.13,54
38.572,836888.705,115
43.485,943487.689,58
40.745,884046.038,49
45.659,990666.681,30
43.376,941126.011,35
40.202,872258.177,84
47.297,1026204.28,16
38.42,833607.228,85
41.827,907513.126,57
41.727,905347.001,55
39.018,846570.753,106
36.577,793604.737,130
41.434,898997.633,58
33.066,717440.109,269
42.723,926959.034,34
31.699,687772.677,363
46.562,1010256.727,21
31.628,686226.215,358
40.705,883181.352,86
39.565,858431.947,77
37.059,804064.444,146
43.56,945115.27,39
41.377,897752.802,64
45.578,988911.538,33
33.285,722183.586,269
39.944,866661.222,73
31.869,691451.32,323
33.438,725503.436,289
28.722,623174.818,537
29.285,635401.738,504
32.17,697984.323,324
41.553,901583.192,56
31.714,688101.383,348
40.92,887837.573,67
40.683,882704.473,73
41.3,896088.355,71
35.268,765213.872,184
32.567,706602.236,357
38.111,826898.233,88
33.997,737627.966,232
36.948,801659.623,127
42.897,930731.438,40
36.682,795899.829,154
32.873,713236.832,262
41.11,891961.135,90
32.201,698672.585,294
40.149,871111.617,78
36.761,797593.909,154
45.42,985482.64,24
43.858,951587.272,38
35.706,774710.346,146
37.416,811821.548,128
47.533,1031329.783,22
45.504,987293.093,25
45.18,980266.78,31
53.055,1151134.264,4
45.814,994016.663,37
42.683,926087.927,48
41.358,897352.2,57
31.814,690265.734,347
37.366,810730.323,121
37.422,811939.587,124
38.308,831165.754,94
37.734,818722.854,142
47.136,1022713.985,36
33.416,725030.774,281
41.834,907671.445,45
38.844,842789.303,93
41.926,909670.81,55
39.104,848441.56,79
32.476,704629.492,319
42.017,911653.217,51
42.562,923464.215,50
39.489,856795.462,88
45.534,987957.738,24
37.218,807521.859,129
39.64,860075.545,90
39.77,862897.413,80
41.645,903575.494,62
35.888,778654.354,159
40.177,871726.248,69
42.567,923584.535,41
40.115,870369.917,79
41.537,901230.21,69
35.796,776674.306,163
42.547,923151.049,31
44.415,963679.413,29
41.206,894053.25,67
40.647,881920.751,60
40.546,879721.315,56
39.808,863704.081,70
35.975,780558.68,155
41.898,909063.674,58
41.86,908226.274,38
37.272,808697.56,124
46.992,1019581.151,27
38.12,827097.296,115
40.152,871173.982,60
47.5,1030610.88,17
29.588,641979.26,485
33.458,725944.996,242
40.915,887728.532,75
39.115,848681.511,100
39.5,857026.46,81
39.443,855784.466,88
40.262,873570.895,74
40.344,875336.575,74
41.568,901904.329,56
40.734,883814.575,57
48.611,1054717.242,19
40.274,873814.6,72
38.096,826561.189,98
38.617,837872.979,101
42.328,918380.172,51
42.68,926038.126,45
42.256,916835.391,41
37.5,813632.689,126
39.996,867789.785,73
40.366,875814.587,76
32.823,712170.261,283
42.411,920191.909,53
37.603,815873.094,123
42.77,927989.462,56
39.24,851395.356,101
34.537,749339.677,187
41.576,902077.493,49
40.536,879516.718,79
36.006,781228.456,161
42.415,920286.993,52
41.1,891756.971,59
37.385,811147.035,136
