voting_district,municipality_code_2021,registered_voters,registered_2026_est,turnout_median,turnout_p10,turnout_p90,p_below_25_raw,p_below_25,non_voters_expected
54100011,MP304,1582.0,1865.8359,36.6474,27.2759,46.4623,0.0559,0.0014,1178.2263
54100022,MP304,1505.0,1775.0209,41.1738,31.8259,51.2742,0.0167,0.0,1039.1692
54100033,MP304,2011.0,2371.8054,42.4015,32.9025,52.3478,0.0128,0.0,1362.3663
54100044,MP304,828.0,976.5564,42.2296,32.0575,52.7231,0.0204,0.0014,563.0412
54100055,MP304,101.0,119.121,51.2102,37.1223,68.1215,0.0147,0.0,57.1676
54110012,MP303,1537.0,1744.3104,41.3847,31.6652,51.3142,0.0175,0.0,1020.6193
54110023,MP303,2391.0,2713.4978,37.2073,27.7109,47.0787,0.052,0.0014,1701.219
54110034,MP303,1538.0,1745.4453,37.7457,28.1938,47.5413,0.0448,0.0014,1083.1149
54120013,MP301,171.0,192.0261,36.6195,22.1918,53.8118,0.1439,0.057,120.0082
54120024,MP301,485.0,544.6353,48.832,34.3641,65.6937,0.0248,0.0014,275.2662
54120035,MP301,283.0,317.7975,42.9741,29.011,59.8717,0.0548,0.0014,178.774
54120046,MP301,770.0,864.6787,33.0952,22.8598,44.0298,0.1566,0.057,576.7265
54120057,MP301,152.0,170.6898,41.1929,26.5962,58.0834,0.0791,0.0033,99.2417
54120068,MP301,457.0,513.1924,41.8711,27.0906,59.1445,0.0719,0.0033,294.7529
54120080,MP301,793.0,890.5068,40.739,30.577,51.461,0.0269,0.0014,525.7192
54120091,MP301,289.0,324.5353,42.1525,27.7332,59.1199,0.0664,0.0033,185.6818
54120103,MP301,905.0,1016.2782,46.7017,36.5415,57.3312,0.0061,0.0,540.1058
54120114,MP301,810.0,909.5971,43.3418,33.2557,53.9181,0.0158,0.0,513.8636
54120125,MP301,1255.0,1409.314,38.8372,28.7618,49.4074,0.0423,0.0014,859.423
54120136,MP301,510.0,572.7093,45.661,31.0524,62.4542,0.0386,0.0014,307.611
54120147,MP301,182.0,204.3786,31.3296,16.9457,48.0271,0.2766,0.3333,138.66
54120181,MP301,345.0,387.421,49.9382,35.6407,66.5476,0.0184,0.0,191.5477
54120192,MP301,1118.0,1255.4686,43.3691,33.0822,53.9203,0.0143,0.0,709.3857
54120215,MP301,1054.0,1183.5992,43.5439,33.4303,54.1798,0.0142,0.0,665.9989
54120226,MP301,1252.0,1405.9452,46.1142,36.0732,56.6883,0.0061,0.0,754.6583
54120237,MP301,397.0,445.8149,45.4965,30.9882,62.6768,0.0396,0.0014,240.1992
54120248,MP301,671.0,753.5057,43.9407,33.817,54.673,0.0135,0.0,420.6443
54120259,MP301,431.0,483.9955,48.7696,34.7324,65.4967,0.0229,0.0014,244.5681
54120260,MP301,246.0,276.248,44.1826,29.7118,61.3272,0.0533,0.0014,152.1687
54120271,MP301,510.0,572.7093,49.0208,34.6241,65.8012,0.022,0.0014,288.1086
54120282,MP301,155.0,174.0587,44.2352,30.0235,61.3226,0.0458,0.0014,95.5488
54120293,MP301,192.0,215.6082,47.9197,33.5278,65.0414,0.0276,0.0014,110.8539
54130014,MP306,1230.0,1343.3822,36.5848,26.1724,47.3617,0.0725,0.0033,849.9758
54130025,MP306,989.0,1080.1667,38.2301,28.0137,49.1344,0.05,0.0014,664.8594
54130036,MP306,1439.0,1571.6479,42.2134,32.6475,51.969,0.0113,0.0,905.9082
54130047,MP306,1886.0,2059.8527,37.2391,27.647,47.0506,0.0536,0.0014,1289.805
54130070,MP306,1430.0,1561.8183,41.8261,32.4554,51.5776,0.0122,0.0,906.1973
54130081,MP306,959.0,1047.4012,42.2188,31.9226,52.7854,0.0189,0.0008,604.2036
54130092,MP306,660.0,720.8392,39.936,29.905,50.8149,0.0308,0.0014,430.7463
54130104,MP306,854.0,932.7223,44.4484,34.2773,55.4025,0.0111,0.0,516.074
54130115,MP306,487.0,531.892,48.204,33.7792,65.1542,0.0251,0.0014,271.4928
54130126,MP306,518.0,565.7496,42.9785,28.7686,60.31,0.0589,0.0014,317.8697
54130137,MP306,733.0,800.5684,44.2825,34.0549,54.7621,0.0124,0.0,444.9169
54130148,MP306,546.0,596.3306,47.21,32.9241,64.2985,0.0299,0.0014,310.5536
54130159,MP306,588.0,642.2022,47.2625,33.2279,64.3076,0.0273,0.0014,333.5356
54130160,MP306,606.0,661.8615,44.4276,30.1665,61.4272,0.0474,0.0014,363.1868
54130171,MP306,88.0,96.1119,58.3929,44.0798,75.7503,0.004,0.0,39.2105
54130182,MP306,355.0,387.7241,51.1677,36.767,67.6063,0.0168,0.0,187.4196
54140015,MP307,2374.0,2609.4174,31.3621,21.8573,41.2476,0.1978,0.2381,1786.377
54140026,MP307,1067.0,1172.8089,38.9516,28.6899,49.6464,0.0438,0.0014,714.3533
54140037,MP307,1262.0,1387.1461,39.6429,29.3503,50.3839,0.037,0.0014,835.7413
54140048,MP307,2130.0,2341.2212,34.7316,25.2243,44.6627,0.0952,0.0274,1522.5681
54140059,MP307,2410.0,2648.9874,44.4802,34.9652,54.4229,0.0073,0.0,1466.9624
54140060,MP307,1541.0,1693.8131,33.5735,24.1153,43.5286,0.1213,0.057,1122.1288
54140071,MP307,1608.0,1767.4571,40.0012,30.2989,49.7464,0.0259,0.0014,1059.7633
54140082,MP307,2743.0,3015.0093,38.8551,29.2884,48.6938,0.032,0.0014,1839.9674
54140093,MP307,1896.0,2084.0166,37.5291,27.9439,47.4415,0.049,0.0014,1299.0239
54140105,MP307,2893.0,3179.884,48.5202,38.9449,58.4753,0.0027,0.0,1630.744
54140116,MP307,1225.0,1346.477,41.2295,30.907,52.2248,0.0272,0.0014,788.3022
54140127,MP307,1440.0,1582.7974,38.2287,28.7418,48.0332,0.0395,0.0014,976.5686
54140138,MP307,2498.0,2745.7139,35.6239,26.0312,45.4445,0.0783,0.0033,1763.8647
54140149,MP307,949.0,1043.1075,40.0219,29.7245,50.7111,0.0325,0.0014,623.5894
54140150,MP307,2120.0,2330.2296,40.1768,30.5716,49.7044,0.0239,0.0014,1393.7159
54140161,MP307,395.0,434.1701,49.0111,34.8843,65.9267,0.0232,0.0014,218.3823
54140172,MP307,515.0,566.0699,51.1337,36.9287,67.878,0.0158,0.0,272.1693
54140183,MP307,44.0,48.3633,58.5954,44.1845,75.4817,0.0052,0.0,19.7092
54150016,MP302,2550.0,2818.6099,27.837,18.1903,37.4133,0.3499,0.483,2032.82
54150027,MP302,1372.0,1516.5226,35.369,25.7393,44.8853,0.0851,0.0033,979.9322
54150038,MP302,592.0,654.3596,43.2361,28.8099,59.7843,0.0595,0.0014,367.0667
54160017,MP301,1712.0,1922.5065,36.1215,26.6066,45.9043,0.0652,0.0033,1225.0385
54160028,MP301,843.0,946.6548,34.6402,24.4187,45.0578,0.1134,0.057,618.0301
54160039,MP301,1150.0,1291.4033,39.724,29.5568,50.3623,0.0328,0.0014,775.4496
54160040,MP301,2051.0,2303.1897,39.1747,29.6466,48.9789,0.0301,0.0014,1398.3747
54160051,MP301,514.0,577.2011,46.2588,32.2626,63.2896,0.035,0.0014,305.9913
54160062,MP301,433.0,486.2414,45.1574,31.0505,62.4932,0.0399,0.0014,262.9216
54160073,MP301,197.0,221.223,38.7081,24.237,55.3788,0.1119,0.057,134.3544
54160084,MP301,471.0,528.9139,41.8811,27.386,58.5235,0.0698,0.0033,303.8482
54160095,MP301,1610.0,1807.9646,41.3816,32.0083,50.98,0.0158,0.0,1058.1031
54160107,MP301,662.0,743.3991,42.647,32.392,53.3905,0.0168,0.0,424.8474
54170018,MP302,729.0,805.7908,39.9579,29.5333,50.4471,0.036,0.0014,483.0973
54170029,MP302,968.0,1069.9664,46.2077,35.9862,56.891,0.0093,0.0,574.0221
54180019,MP302,2169.0,2397.4764,44.8036,35.137,54.678,0.0054,0.0,1321.2378
54180020,MP302,496.0,548.2473,45.6319,31.1997,61.9214,0.0399,0.0014,295.3367
54190010,MP311,1909.0,2267.8354,39.8545,30.2754,49.6228,0.0243,0.0014,1359.6532
54190021,MP311,2639.0,3135.0538,40.3906,30.8184,50.1706,0.0212,0.0014,1865.4434
54190032,MP311,1611.0,1913.8203,43.4322,33.8332,53.1824,0.0104,0.0,1081.3486
54190043,MP311,2206.0,2620.6626,41.1362,31.8147,50.9499,0.0151,0.0,1538.1768
54190054,MP311,2026.0,2406.8279,40.3195,30.865,50.0381,0.0227,0.0014,1433.6668
54190065,MP311,1086.0,1290.1358,42.455,32.3149,52.9281,0.0188,0.0003,739.9643
54190076,MP311,2081.0,2472.1663,40.2599,30.5663,49.9665,0.0247,0.0014,1475.7466
54190087,MP311,2204.0,2618.2867,39.6146,30.1389,49.4188,0.0295,0.0014,1578.3107
54190098,MP311,1375.0,1633.4592,44.9347,35.5777,54.8719,0.0055,0.0,895.8766
54190100,MP311,1317.0,1564.557,43.1741,33.776,53.075,0.0089,0.0,886.3778
54190111,MP311,1598.0,1898.3766,44.5614,34.9591,54.306,0.0077,0.0,1051.0605
54190122,MP311,1506.0,1789.0834,48.8216,39.4565,58.6137,0.0015,0.0,912.7821
54190133,MP311,954.0,1133.3237,45.827,35.3858,56.43,0.0082,0.0,612.9688
54190144,MP311,1894.0,2250.0159,44.6973,35.3002,54.6825,0.0073,0.0,1239.7692
54190155,MP311,1176.0,1397.0531,46.9695,36.878,57.4871,0.0067,0.0,738.7589
54200012,MP301,365.0,409.8802,42.138,27.7413,59.2069,0.0677,0.0033,234.0407
54200023,MP301,399.0,448.0608,45.1486,30.9536,62.3332,0.0429,0.0014,242.4064
54200034,MP301,1731.0,1943.8427,41.2592,31.786,51.1109,0.0167,0.0,1138.8588
54200045,MP301,632.0,709.7103,46.5495,36.4015,57.1578,0.0072,0.0,378.4558
54200056,MP301,77.0,86.4679,39.0137,24.4607,55.8992,0.1077,0.0274,52.1736
54200067,MP301,188.0,211.1164,45.4119,31.1785,62.4899,0.0381,0.0014,113.5637
54200078,MP301,702.0,788.3175,48.2388,38.0782,58.9225,0.0046,0.0,406.8626
54200089,MP301,394.0,442.446,48.4455,33.9586,65.8366,0.0266,0.0014,225.1087
54210013,MP301,1753.0,1968.5478,36.1809,26.8016,45.946,0.0644,0.0033,1253.2114
54210024,MP301,1540.0,1729.3575,41.7599,32.4081,51.4391,0.0146,0.0,1004.3013
54210035,MP301,1105.0,1240.8701,34.1905,24.1157,44.9095,0.1188,0.057,814.3952
54210046,MP301,1884.0,2115.6555,40.2696,30.7834,50.0877,0.022,0.0014,1261.031
54210057,MP301,1241.0,1393.5926,37.6968,27.2464,48.0647,0.0603,0.0033,867.7421
54210068,MP301,781.0,877.0313,32.0032,21.8194,42.621,0.1893,0.1667,595.3613
54210079,MP301,1518.0,1704.6523,38.1437,28.6871,48.091,0.0381,0.0014,1050.7764
54210080,MP301,1294.0,1453.1094,37.8515,28.2969,47.7624,0.0424,0.0014,900.5006
54210091,MP301,1640.0,1841.6534,39.7031,30.1943,49.4795,0.0281,0.0014,1108.8727
54210103,MP301,1591.0,1786.6284,34.441,24.8074,44.1219,0.1041,0.0274,1170.0584
54210114,MP301,1622.0,1821.4401,36.1458,26.5672,45.906,0.0684,0.0033,1160.2176
54210125,MP301,458.0,514.3154,42.2956,28.4256,58.9968,0.0597,0.003,292.7822
54210169,MP301,504.0,565.9715,39.5427,25.255,56.2838,0.0966,0.0274,338.1267
54210170,MP301,1014.0,1138.6808,41.4162,31.0652,51.9003,0.0238,0.0014,666.0991
54210192,MP301,761.0,854.5721,42.7339,32.6,53.6765,0.0171,0.0,487.367
54210204,MP301,1247.0,1400.3304,42.702,32.609,53.1885,0.0169,0.0,799.9555
54210215,MP301,122.0,137.001,35.3185,21.1655,51.9188,0.1752,0.057,87.6168
54210226,MP301,939.0,1054.4589,41.5395,31.3348,52.19,0.0231,0.0014,614.9884
54210237,MP301,1263.0,1418.2977,38.2721,27.9511,48.9158,0.0502,0.0014,873.6691
54210248,MP301,1195.0,1341.9365,40.662,30.3055,51.3476,0.0305,0.0014,794.9425
54210259,MP301,917.0,1029.7538,38.6323,28.4475,49.5151,0.047,0.0014,629.3725
54210260,MP301,531.0,596.2914,43.6039,29.167,60.1095,0.0524,0.0014,332.7229
54210271,MP301,592.0,664.792,42.5881,27.9917,59.2255,0.0622,0.0033,377.9471
54210282,MP301,985.0,1106.115,45.4569,35.0747,55.8885,0.01,0.0,602.3299
54210293,MP301,620.0,696.2348,42.5862,28.4481,59.5918,0.0612,0.0033,394.0283
54210305,MP301,351.0,394.1587,45.4413,30.9779,61.8507,0.0407,0.0014,212.7187
54210316,MP301,753.0,845.5884,43.787,33.505,54.2232,0.0143,0.0,474.4167
54210327,MP301,397.0,445.8149,41.4907,27.3855,58.3143,0.0695,0.0033,257.5112
54210338,MP301,434.0,487.3644,43.4566,29.0444,60.4476,0.0556,0.0014,272.3133
54210349,MP301,403.0,452.5526,43.7667,29.584,60.9995,0.0497,0.0014,250.4196
54210350,MP301,323.0,362.7159,46.6876,32.7117,63.5774,0.0301,0.0014,190.4692
54210361,MP301,296.0,332.396,42.0334,27.669,58.8422,0.0674,0.0033,190.334
54220014,MP301,1232.0,1383.486,33.9674,23.5889,44.1786,0.1305,0.057,912.9196
54220025,MP301,1095.0,1229.6405,35.6234,25.33,46.18,0.0929,0.0274,790.406
54220036,MP301,940.0,1055.5818,42.196,32.1128,52.8533,0.0212,0.0014,608.5716
54220047,MP301,1379.0,1548.561,42.326,32.7871,52.1796,0.013,0.0,890.461
54220058,MP301,929.0,1043.2293,34.3604,23.9292,45.2431,0.1253,0.057,682.9475
54220069,MP301,1300.0,1459.8472,35.4925,26.0987,45.1626,0.076,0.0033,939.1309
54220070,MP301,805.0,903.9823,37.0193,26.7786,47.5844,0.0678,0.0033,568.2253
