input,path,bytes,modified_utc,sha256
baseline_lge_master,DATASETS\iec_results\LGE_All_Sources_Master_721327_Rows.csv,486717424,2026-09-24T19:34:26+00:00,7e5b97e4a3f1f288cce49eb0f7f37d8dd573de702b348536b912767039b5c8e4
lge_2011_mp,DATASETS\iec_results\local_elections\MP_LGE_2011.csv,5380494,2026-09-24T19:08:13+00:00,c4108c71a2444882337d2da4addd0f0727ffbafaae5765f60885e344d52f1ad1
lge_2016_mp,DATASETS\iec_results\local_elections\MP_LGE_2016.csv,7347435,2026-09-24T19:08:13+00:00,1f62d4c02568c5eb12aaebacf0141516380f7fe958d471741d71daa11faa0924
lge_2021_mp,DATASETS\iec_results\local_elections\MP_LGE_2021.csv,9041631,2026-09-24T19:08:14+00:00,564cef51184a64a451d6e75be226e3d8ed635b6698f80a2309ec11d17ed9d80f
npe_turnout_mp,DATASETS\iec_results\provincial_elections\Mpumalanga_Voter_Turnout_2004-2024.csv,11294,2026-09-24T19:08:14+00:00,0c3c0b7401a057ccab923113a97976404e0fea00d7a184b792d06c0f027ef3ec
voters_2026_report,DATASETS\iec_registration\2026 Registered voters.xlsx,22065,2026-09-24T19:08:13+00:00,832400cc46576850aaeaab877af9db37910e6704391f84b7ac113125da0f4dcf
census_households,DATASETS\census2022\Census2022_F18_F19_Combined_full.csv,136682377,2026-09-24T19:34:27+00:00,721d8a06b1c411323a9c440066316bd30e78e057a066619deadcbfbdcd8c4d22
agsa_audit_mp,DATASETS\auditor_general\audit_opinions_mpumalanga_raw.json,78701,2026-09-24T19:08:13+00:00,3f0944aa82ce7f326eb74342802a61e90fc47cb8cc1d9d1bd96191d199c4dd9e
municipal_boundaries,DATASETS\reference\geoBoundaries-ZAF-ADM3_simplified.geojson,2740795,2026-09-24T21:51:14+00:00,35cbea5cef92308a1894bdf6a68dfb49e73a90830bc62d3fb7d73d70f5ece3e6
npe_vd_2004,DATASETS\iec_results\provincial_elections\district_results\NPE_2004.zip,4012589,2026-09-25T02:08:04+00:00,c6a5cb39f3c4316a8a430d5f771be466ace4d89ae9983a7b8998f3924222c59e
npe_vd_2009,DATASETS\iec_results\provincial_elections\district_results\NPE_2009.zip,5550741,2026-09-25T02:08:03+00:00,75c6cf58647e7e891d22c4913aeb46b1a93e2942288a896037a817a1ea19a546
npe_vd_2014,DATASETS\iec_results\provincial_elections\district_results\NPE_2014.zip,7055916,2026-09-25T02:11:21+00:00,5a70e4d56646e7521b184457740f7c07e5be0ca22035b6143292052176974bfe
npe_vd_2019,DATASETS\iec_results\provincial_elections\district_results\NPE_2019_Provincial.zip,4032314,2026-09-25T02:05:03+00:00,bf75dc4682b7f8b2fc9f4a3455ae126fa2e7764badf66d04272779bf1fd5d791
npe_vd_2024,DATASETS\iec_results\provincial_elections\district_results\NPE_2024_Provincial.zip,4171034,2026-09-25T02:08:02+00:00,bc09f835e155a7119595fecf0d2304b37a8be156446e18596ba66d3f9b4885ab
