election_year,voting_district,municipality_code,municipality_source,province,registered_voters,municipality_code_2021,municipality_name_2021,province_2021,boundary_method
2000,54100011,MP304,MP304 - Seme [Volksrust],Mpumalanga,2159,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54100022,MP304,MP304 - Seme [Volksrust],Mpumalanga,1794,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54100033,MP304,MP304 - Seme [Volksrust],Mpumalanga,1384,MP304,MP304 - Dr Pixley Ka Isaka Seme,Mpumalanga,vd_code_match
2000,54110012,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,1042,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54110023,MP303,MP303 - Mkhondo [Piet Retief],Mpumalanga,2264,MP303,MP303 - Mkhondo,Mpumalanga,vd_code_match
2000,54120013,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,62,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120024,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,624,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120035,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,229,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120046,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1838,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120057,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,177,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120068,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,454,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120080,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,758,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120091,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,467,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120103,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,1532,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120114,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,693,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120125,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,3024,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120136,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,391,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
2000,54120147,MP301,MP301 - Albert Luthuli [Elukwatini/Carolina],Mpumalanga,134,MP301,MP301 - Chief Albert Luthuli,Mpumalanga,vd_code_match
