variable,code,label,sample_households,weighted_households
DERH_HHSEX,1,Male,524967,7657915.0
DERH_HHSEX,2,Female,523608,7498853.0
DERH_HHPOP,1,Black African,790593,11216446.0
DERH_HHPOP,2,Coloured,99766,1515060.0
DERH_HHPOP,3,Indian or Asian,33029,500771.0
DERH_HHPOP,4,White,121543,1869870.0
DERH_HHPOP,5,Other,3644,54621.0
H01_QUARTERS,1,Housing Unit,948296,13726826.0
H01_QUARTERS,2,Converted Hostel,15427,217883.0
H01_QUARTERS,3,Residential Hotel,2505,37432.0
H01_QUARTERS,4,Home for the aged,4067,58134.0
H01_QUARTERS,5,Other,78280,1116494.0
H02_MAINDWELLING,1,Formal dwelling/house or brick/concrete block structure on a separate stand or yard or on farm,751908,10876365.0
H02_MAINDWELLING,2,Traditional dwelling/hut/structure made of traditional materials,39270,489390.0
H02_MAINDWELLING,3,Flat or apartment in a block of flats/flat or apartment in a block of flats in a complex,29064,441263.0
H02_MAINDWELLING,4,Cluster house in complex,3646,56065.0
H02_MAINDWELLING,5,Town house (semi-detached house in complex),5047,76895.0
H02_MAINDWELLING,6,Semi-detached house,11778,179412.0
H02_MAINDWELLING,7,Formal dwelling/house/flat/room in backyard/servants quarters/granny flat/cottage,37534,552462.0
H02_MAINDWELLING,8,Informal dwelling/shack in back yard,33773,502493.0
H02_MAINDWELLING,9,"Informal dwelling/shack not in backyard, e.g. in an informal/squatter settlement or on farm",48543,726053.0
H02_MAINDWELLING,10,Caravan/tent,201,2946.0
H02_MAINDWELLING,11,Other,2959,41364.0
H02_MAINDWELLING,88,Not applicable,84852,1212059.0
H03_TENURE,1,Rented from private individual,143971,2166108.0
H03_TENURE,2,Rented from other (including municipality and social housing institutions),32937,492056.0
H03_TENURE,3,"Owned, but not yet paid off",51654,769882.0
H03_TENURE,4,Owned and fully paid off,301707,4241171.0
H03_TENURE,5,Occupied rent-free,183003,2562730.0
H03_TENURE,6,Other,23513,323618.0
H03_TENURE,7,Do not know,5912,86381.0
H03_TENURE,8,Not applicable,84852,1212059.0
H03_TENURE,9,Unspecified,221026,3302762.0
H04_RDP,1,Yes,231995,3375609.0
H04_RDP,2,No,505235,7184498.0
H04_RDP,3,Do not know,5447,81528.0
H04_RDP,8,Not applicable,84852,1212059.0
H04_RDP,9,Unspecified,221046,3303073.0
H05_WATERPIPED,1,Piped (tap) water inside the dwelling,612721,9205424.0
H05_WATERPIPED,2,Piped (tap) water inside the yard,234733,3266041.0
H05_WATERPIPED,3,Piped (tap) water on community stand: distance less than 200m from dwelling,74126,1033907.0
H05_WATERPIPED,4,Piped (tap) water to community stand: distance less than 200m and 500m from dwelling,19460,264766.0
H05_WATERPIPED,5,Piped (tap) water to community stand: distance less than 500m and 1000m from dwelling,6412,86540.0
H05_WATERPIPED,6,Piped (tap) water on community stand: distance greater than 1000m (1 km) from dwelling,4475,60421.0
H05_WATERPIPED,7,No access to piped (tap) water,96648,1239670.0
H06_WATERSOURCE,1,Regional/local water scheme (operated by municipality/other service provider),865233,12714059.0
H06_WATERSOURCE,2,Borehole,36216,513113.0
H06_WATERSOURCE,3,Spring,7306,95042.0
H06_WATERSOURCE,4,Rain-water tank,29676,371903.0
H06_WATERSOURCE,5,Dam/pool/stagnant water,9479,122875.0
H06_WATERSOURCE,6,Flowing water/river/stream,27095,330662.0
H06_WATERSOURCE,7,Water vendor,10165,134093.0
H06_WATERSOURCE,8,Water tanker,42523,582538.0
H06_WATERSOURCE,9,Other,20882,292483.0
H07A_WATERSUPPLY,1,Yes,307487,4399880.0
H07A_WATERSUPPLY,2,No,332177,4943864.0
H07A_WATERSUPPLY,3,Do not know,5638,83665.0
H07A_WATERSUPPLY,8,Not applicable,190179,2547236.0
H07A_WATERSUPPLY,9,Unspecified,213094,3182123.0
H08_TOILET,1,Flush toilet connected to a public sewerage system,721954,10805520.0
H08_TOILET,2,Flush toilet connected to a septic tank or conservancy tank,22641,333955.0
H08_TOILET,3,Chemical toilet,37163,503330.0
H08_TOILET,4,Pit latrine/toilet with ventilation pipe,102691,1301870.0
H08_TOILET,5,Pit latrine/toilet without ventilation pipe,99678,1305039.0
H08_TOILET,6,"Ecological toilet (e.g. urine diversion, enviroloo, etc)",5313,68229.0
H08_TOILET,7,Bucket toilet (collected by municipality),17612,266216.0
H08_TOILET,8,Bucket toilet (emptied by household),11722,166920.0
H08_TOILET,9,None,20278,279674.0
H08_TOILET,10,Other,9523,126015.0
H09_ENERGY_COOKING,1,Electricity from mains,703022,10080075.0
H09_ENERGY_COOKING,2,Other source of electricity (e.g. generator etc.),4897,72474.0
H09_ENERGY_COOKING,3,Gas,259181,3869372.0
H09_ENERGY_COOKING,4,Paraffin,39538,589109.0
H09_ENERGY_COOKING,5,Wood,36366,465301.0
H09_ENERGY_COOKING,6,Coal,958,13191.0
H09_ENERGY_COOKING,7,Animal dung,264,3295.0
H09_ENERGY_COOKING,8,Solar,749,11866.0
H09_ENERGY_COOKING,9,Other,1261,18635.0
H09_ENERGY_COOKING,10,None,2339,33451.0
H10_ENERGY_LIGHTING,1,Electricity from mains,974345,14060898.0
