source_id,table_name,column_name,description,data_type,unit,allowed_values,denominator,reference_date,geographic_level,is_identifier,is_target_component,is_eligible_feature,missing_value_meaning,quality_notes
baseline_lge_master,raw_results_long,record_id,Unique derived record identifier,string,identifier,,not applicable,election event,voting unit,yes,no,yes if used only as key,missing indicates malformed input,Validate uniqueness
baseline_lge_master,raw_results_long,source_filename,Original source archive/file name,string,file name,,not applicable,election event,source record,yes,no,no,missing lineage,Must map to source registry
baseline_lge_master,raw_results_long,source_record_number,Original row number in source,integer,row number,,not applicable,election event,source record,yes,no,no,missing lineage,Use with source_filename for audit
baseline_lge_master,raw_results_long,election_year,Election year,integer,year,2000;2006;2011;2016;2021;other,not applicable,election event,all geography,no,no,yes when lagged,missing year,Check observed values
baseline_lge_master,raw_results_long,year_label_corrected,Whether year label was corrected,boolean,flag,True;False,not applicable,election event,all geography,no,no,yes as quality flag,missing unknown,Do not discard
baseline_lge_master,raw_results_long,source_geographic_scope,Scope label from source,string,label,,not applicable,election event,source geography,no,no,no,missing scope,Compare with province field
baseline_lge_master,raw_results_long,province,Province name,string,name,South African provinces,not applicable,election event,province,no,no,yes,missing geography,Standardise to canonical province
baseline_lge_master,raw_results_long,municipality_key,Derived municipality key,string,identifier,,not applicable,election event,municipality,yes,no,no,missing geography,Do not use as canonical code without crosswalk
baseline_lge_master,raw_results_long,municipality_code,Source/derived municipality code,string,code,,not applicable,election event,municipality,yes,no,yes after crosswalk,missing geography,Primary join candidate pending validation
baseline_lge_master,raw_results_long,municipality_source,Original municipality label,string,name,,not applicable,election event,municipality,no,no,no,missing label,Retain for audit
baseline_lge_master,raw_results_long,ward_code,Ward code,string,code,,not applicable,election event,ward,yes,no,no,missing ward,Not a municipality-level target
baseline_lge_master,raw_results_long,ward_source,Original ward label,string,name,,not applicable,election event,ward,no,no,no,missing ward,Retain for audit
baseline_lge_master,raw_results_long,ward_key,Derived ward key,string,identifier,,not applicable,election event,ward,yes,no,no,missing ward,Validate across boundary versions
baseline_lge_master,raw_results_long,voting_district,Voting district code,string,code,,not applicable,election event,voting district,yes,no,no,missing district,Not a municipality-level target
baseline_lge_master,raw_results_long,station_name,Station name,string,name,,not applicable,election event,voting station,no,no,no,missing station,May change across elections
baseline_lge_master,raw_results_long,ballot_type,Ballot type,string,label,WARD;PR;DC 40%;other,not applicable,election event,ballot unit,no,no,yes as categorical context,missing ballot,Explicitly handle ballot types
baseline_lge_master,raw_results_long,party_name,Party name,string,name,,not applicable,election event,party,no,no,no,missing party,Only for party-share analyses
baseline_lge_master,raw_results_long,party_name_missing,Party missing flag,boolean,flag,True;False,not applicable,election event,party,no,no,no,missing unknown,Retain as quality flag
baseline_lge_master,raw_results_long,registered_voters,Registered voters count,number,voters,nonnegative,not applicable,election event,reporting unit,no,yes for registration target,yes only when lagged,missing not reported,Do not join repeated party rows as independent observations
baseline_lge_master,raw_results_long,party_valid_votes,Valid votes for party,number,votes,nonnegative,party valid votes sum,election event,party,no,no,no,missing zero vs not reported unresolved,Aggregate before modelling
baseline_lge_master,raw_results_long,spoilt_votes,Spoilt votes,number,votes,nonnegative,ballots cast,election event,reporting unit,no,yes for spoilt rate,yes only when lagged,missing not reported,Reconcile to source
baseline_lge_master,raw_results_long,reported_ballot_votes_cast,Reported ballots cast,number,votes,nonnegative,registered voters for turnout,election event,reporting unit,no,yes for turnout target,yes only when lagged,missing not reported,Target component; leakage risk
baseline_lge_master,raw_results_long,reported_turnout_pct,Reported turnout percentage,number,percent,0-100,registered voters,election event,reporting unit,no,yes, no for same-event prediction,missing not reported,Exclude from same-event feature matrix
baseline_lge_master,raw_results_long,mec7_votes,MEC7 votes,number,votes,nonnegative,ballot-specific,election event,ballot unit,no,no,no,missing ballot not available,Scope-specific
baseline_lge_master,raw_results_long,repair_applied,Whether repair was applied,boolean,flag,True;False,not applicable,election event,source record,no,no,yes as reliability flag,missing unknown,Must explain repair rules
baseline_lge_master,raw_results_long,repair_note,Repair description,string,text,,not applicable,election event,source record,no,no,no,missing no note,Review all repaired records
baseline_lge_master,raw_results_long,numeric_parse_error,Whether numeric parsing failed,boolean,flag,True;False,not applicable,election event,source record,no,no,yes as quality flag,missing unknown,Quantify by year/geography
baseline_lge_master,raw_results_long,party_valid_votes_sum,Derived sum of party valid votes,number,votes,nonnegative,ballots cast,election event,reporting unit,no,no,no,missing not calculable,Derived from party rows
baseline_lge_master,raw_results_long,party_count,Count of party rows,integer,count,nonnegative,not applicable,election event,reporting unit,no,no,no,missing not calculable,Not independent sample size
baseline_lge_master,raw_results_long,ballot_votes_cast,Derived ballots cast,number,votes,nonnegative,registered voters,election event,reporting unit,no,yes for turnout target,no if same-event,missing not calculable,Compare to reported value
baseline_lge_master,raw_results_long,ballot_turnout_pct,Derived turnout percentage,number,percent,0-100,registered voters,election event,reporting unit,no,yes,no if same-event,missing not calculable,Target component
baseline_lge_master,raw_results_long,spoilt_rate_pct,Derived spoilt ballot rate,number,percent,0-100,ballots cast,election event,reporting unit,no,yes only for historical target/context,yes when pre-outcome,missing not calculable,Check denominator
baseline_lge_master,raw_results_long,measure_conflict,Whether reported/derived measures conflict,boolean,flag,True;False,not applicable,election event,reporting unit,no,no,yes as quality flag,missing unknown,Investigate conflicts
baseline_lge_master,raw_results_long,vote_total_mismatch,Whether vote totals mismatch,boolean,flag,True;False,not applicable,election event,reporting unit,no,no,yes as quality flag,missing unknown,Investigate conflicts
baseline_lge_master,raw_results_long,votes_exceed_registered,Whether votes exceed registration,boolean,flag,True;False,not applicable,election event,reporting unit,no,no,yes as quality flag,missing unknown,Potential data error
baseline_lge_master,raw_results_long,registered_voters_pr,PR registered voters,number,voters,nonnegative,not applicable,election event,reporting unit,no,yes for PR registration,yes only when lagged,missing PR not reported,Check comparability
baseline_lge_master,raw_results_long,pr_valid_votes,PR valid votes,number,votes,nonnegative,PR votes cast,election event,PR ballot,no,no,no,missing PR not reported,Ballot-specific
baseline_lge_master,raw_results_long,pr_votes_cast,PR votes cast,number,votes,nonnegative,PR registered voters,election event,PR ballot,no,yes for PR turnout,yes only when lagged,missing PR not reported,Target component
baseline_lge_master,raw_results_long,pr_spoilt_votes,PR spoilt votes,number,votes,nonnegative,PR votes cast,election event,PR ballot,no,yes for PR spoilt rate,yes only when lagged,missing PR not reported,Target component
baseline_lge_master,raw_results_long,pr_ballot_groups,PR ballot groups,integer,count,nonnegative,not applicable,election event,PR ballot,no,no,yes if historical,missing not reported,Definition required
