source_id,filename,source_organisation,source_url,download_date,reference_period,geographic_scope,geographic_level,row_grain,file_format,license_or_usage_notes,original_or_derived,transformation_history,known_limitations,owner,status
baseline_lge_master,LGE_All_Sources_Master_721327_Rows.csv,Team-derived from IEC election results,https://results.elections.org.za/,2026-09-23,2000 onward local government election events,South Africa / all provinces in observed records,party x ballot x voting unit or source record,one source record per party/ballot/geography,csv,Confirm IEC reuse and competition rules,derived,Combined source files; numeric parsing; repair flags; derived totals and rates,Long-format pseudo-replication risk; boundary and definition changes across elections; source lineage needs to be attached,Team,approved-for-audit-not-modeling
voters_2026_report,DATASETS/2026 Registered voters.xlsx,Not documented in workbook; likely IEC-aligned,Not supplied in workbook,2026-09-23,2026 registered voters report,South Africa totals plus Mpumalanga municipality detail,province summary / age-gender summary / municipality summary,report tables on one worksheet,xlsx,Confirm source terms and extraction provenance,original_report,No transformation yet; must be split into tidy tables,Report-style workbook; no source URL/date/boundary version embedded; municipality spelling and duplicate/legacy codes require review,Team,quarantine-until-profiled
census_2022_f18_f19,DATASETS/Census2022_F18_F19_Combined_full.csv,Statistics South Africa / Census 2022 (to be verified),https://isibaloweb.statssa.gov.za/pages/surveys/pss/censuses/2022/census2022.php,2026-09-23,Census 2022 household responses,South Africa,household record with QID and survey weight,one household response record,csv,Confirm licence and approved aggregation use,original_or_export,"Rebuilt 2026-09-24 by joining Census2022_raw F18 (geography) and F19 (household attributes) one-to-one on QID; the earlier combined file was truncated at 1,048,575 rows by Excel and is in _superseded/","Official Census household counts = H01_QUARTERS codes 1-2 (conventional dwellings): weighted 17.82M vs published 17.8M. Codes 3-5 (residential hotel, home for the aged, other; 1.43M weighted) must be excluded from household indicators. About 16.5% of sampled households are Unspecified (9/99) for tenure, RDP, household goods, internet and hunger together; the share ranges 6.4%-35.1% by municipality (higher in urban areas), so rates must use specified households as the denominator and report coverage.",Team,approved-for-aggregation-with-rules
baseline_iec_source_registry,Qualifier-listed IEC resources,IEC,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,2026-09-23,Registration and election statistics,South Africa,resource/file dependent,resource-level,web-resource,Use official source terms,reference,Qualifier materials reference IEC statistics/results and atlas resources,Exact file-level URLs; download dates; and versions still need to be recorded,Team,metadata-required
iec_2026_registration_press_figures,DATASETS/iec_2026_registration_press_figures.csv,IEC statements as reported by ITWeb / Joburg ETC / Independent on Saturday / GroundUp,Per-row source_url column,2026-09-24,2005-2026 (per-row period column),South Africa national and province,national / province,one published figure per row,csv,Published press figures; cite each row source_url,derived (hand-transcribed from published articles),Figures transcribed from articles on 2026-09-24; no calculation applied,National/provincial only - no municipality breakdown; online split published for only 3 provinces; many values rounded; survey registration shares are self-reported; 16-29 age band differs from roll 18-29,Team,approved-for-context-not-modeling
census_2022_raw_f18,DATASETS/Census2022_raw/Census2022sample_F18.csv,"Statistics South Africa (Census 2022 sample, supplied in DIRISA_Election_Challenge.zip)",DIRISA_Election_Challenge.zip: data/raw/demographics/,2026-09-24,Census 2022,"South Africa, all 9 provinces",household -> province/district/municipality,one household (QID),csv,Confirm Stats SA terms,original,Extracted unchanged from zip,"1,338,295 households; geography only",Team,approved-for-audit-not-modeling
census_2022_raw_f19,DATASETS/Census2022_raw/Census2022sample_F19.csv,"Statistics South Africa (Census 2022 sample, supplied in DIRISA_Election_Challenge.zip)",DIRISA_Election_Challenge.zip: data/raw/demographics/,2026-09-24,Census 2022,"South Africa, all 9 provinces",household (join F18 on QID),one household (QID),csv,Confirm Stats SA terms,original,Extracted unchanged from zip,Coded household attributes + HH_WGT; codebook needed,Team,quarantine-until-codebook
census_2022_raw_f21,DATASETS/Census2022_raw/Census2022sample_F21.csv,"Statistics South Africa (Census 2022 sample, supplied in DIRISA_Election_Challenge.zip)",DIRISA_Election_Challenge.zip: data/raw/demographics/,2026-09-24,Census 2022,"South Africa, all 9 provinces",person (join F18 on QID for municipality),one person (PID),csv,Confirm Stats SA terms,original,Extracted unchanged from zip,"4,230,792 persons; age, sex, citizenship, education etc. with PERS_WGT; candidate source for adult (voting-age) population per municipality; codebook needed",Team,quarantine-until-codebook
lge_2011_results,DATASETS/LGE2011/*_2011.csv,IEC,https://results.elections.org.za/home/downloads/me-results,unknown (team download),LGE 18 May 2011,All 9 provinces,voting district x ballot x party,one party result per voting district and ballot,csv,IEC terms,format-converted,EC/KN/MP/NC/NP/NW/WP: UTF-16 originals in DATASETS/LOCAL GOV ELECTION converted to UTF-8 on 2026-09-24. FS/GP: downloaded by team from IEC on 2026-09-24 (originals in LGE2011/original_download_utf16) and converted to UTF-8. All conversions verified identical.,"LOCAL GOV ELECTION/FS.csv and GP.csv are copies of 2016 FS and 2021 GP, not 2011 - do not use them",Team,approved-for-audit-not-modeling
lge_2016_results,DATASETS/L2/* (1).csv,IEC,https://results.elections.org.za/home/downloads/me-results,unknown (team download),LGE 3 Aug 2016,8 provinces (MP 2016 comes from the baseline / zip),voting district x ballot x party,one party result per voting district and ballot,csv,IEC terms,original,,"L2/MP (1).csv is an identical copy of the 2021 MP file, not 2016; GP/NW/WP reports generated in 2017",Team,approved-for-audit-not-modeling
lge_2021_results,DATASETS/L3/* (2).csv,IEC,https://results.elections.org.za/home/downloads/me-results,unknown (team download),LGE 1 Nov 2021,All 9 provinces,voting district x ballot x party,one party result per voting district and ballot,csv,IEC terms,original,,NW/WP reports generated in 2022; Book3.xlsx was a truncated merge of these files (now in _superseded/),Team,approved-for-audit-not-modeling
lge_2016_mp_results,DATASETS/LGE2016_MP/MP_2016.csv,IEC (supplied in DIRISA_Election_Challenge.zip),DIRISA_Election_Challenge.zip: data/raw/election_results/local_government/2016/detailed_results/MP.csv,2026-09-24,LGE 3 Aug 2016,Mpumalanga,voting district x ballot x party,one party result per voting district and ballot,csv,IEC terms,original,Extracted unchanged from zip,"Replaces L2/MP (1).csv, which is a copy of the 2021 file",Team,approved-for-audit-not-modeling
iec_official_turnout_mp,"DATASETS/IEC_official_turnout/MP_turnout_{2011,2016,2021}.csv",IEC (supplied in DIRISA_Election_Challenge.zip),DIRISA_Election_Challenge.zip: data/raw/election_results/local_government/<year>/voter_turnout/,2026-09-24,"LGE 2011, 2016, 2021",Mpumalanga,municipality,"report-style: one line per municipality (registered, MEC7, turnout votes, % turnout)",csv (report layout),IEC terms,original,Extracted unchanged from zip,"Mpumalanga only; used for reconciliation, not as model input",Team,reference-for-reconciliation
