year,snapshot,age_group,female_registered,male_registered,total_registered,share_of_roll_pct,voting_age_population,registration_rate_pct,source,source_url,data_quality
2019,Certified voters' roll,18-19,189466,151720,341186,1.28,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,20-29,2873689,2425455,5299144,19.8,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,30-39,3536314,3149125,6685439,24.99,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,40-49,2879042,2601294,5480336,20.48,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,50-59,2357546,1871012,4228558,15.8,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,60-69,1579496,1158057,2737553,10.23,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,70-79,834311,502635,1336946,5.0,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2019,Certified voters' roll,80+,466875,180612,647487,2.42,,,IEC 2019 National and Provincial Elections Report,https://www.elections.org.za/content/Documents/Election-reports/National-and-Provincial-Elections/2019-National-and-Provincial-Elections-Report/,Exact
2022,End March,18-19,87639,66672,154311,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,20-29,2296208,1916902,4213110,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,30-39,3609258,3134617,6743875,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,40-49,2987275,2703964,5691239,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,50-59,2424249,1947858,4372107,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,60-69,1662935,1210723,2873658,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,70-79,860704,519902,1380606,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2022,End March,80+,478950,189028,667978,,,,IEC 2022 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2022-IEC-Annual-Report/,Exact
2024,End March,18-19,312902,237785,550687,1.98,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,20-29,2426657,1981482,4408139,15.87,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,30-39,3668349,3163486,6831835,24.59,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,40-49,3148031,2860041,6008072,21.63,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,50-59,2509935,2068544,4578479,16.48,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,60-69,1813296,1327328,3140624,11.3,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,70-79,952095,589344,1541439,5.55,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2024,End March,80+,513768,209434,723202,2.6,,,IEC 2024 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2024-IEC-Annual-Report/,Exact
2025,End March,18-19,252060,199014,451074,1.63,2032272,22.2,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,20-29,2323196,1888345,4211541,15.22,9073863,46.41,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,30-39,3635615,3114812,6750427,24.4,10198809,66.19,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,40-49,3196930,2895621,6092551,22.02,7596640,80.2,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,50-59,2536427,2108949,4645376,16.79,5083116,91.39,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,60-69,1853031,1352651,3205682,11.59,3362552,95.33,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,70-79,976661,604535,1581196,5.72,1775083,89.08,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2025,End March,80+,513532,211398,724930,2.63,630750,114.93,IEC 2025 Annual Report,https://www.elections.org.za/content/Documents/Annual-reports%2C-reports-and-strategic-documents/Annual-reports---IEC/2025-IEC-Annual-Report/,Exact
2026,Current IEC statistics (retrieved 2026-09-24),18-19,228271,179564,407835,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),20-29,2290815,1841816,4132631,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),30-39,3555312,3021216,6576528,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),40-49,3242501,2915881,6158382,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),50-59,2565316,2162396,4727712,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),60-69,1895027,1379491,3274518,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),70-79,1009142,627866,1637008,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
2026,Current IEC statistics (retrieved 2026-09-24),80+,522592,217665,740257,,,,IEC Voter Registration Statistics,https://www.elections.org.za/pw/StatsData/Voter-Registration-Statistics,Exact current snapshot
